"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","57,24","57,60","57,72","56,76","944,81K","-2,83%"
"23.05.2023","58,91","58,21","60,00","57,86","1,10M","0,46%"
"22.05.2023","58,64","59,21","59,24","58,38","649,05K","0,02%"
"19.05.2023","58,63","59,31","59,57","58,21","724,25K","-0,91%"
"18.05.2023","59,17","59,21","59,63","58,53","672,60K","-0,22%"
"17.05.2023","59,30","57,74","59,50","57,57","1,23M","3,80%"
"16.05.2023","57,13","57,41","57,67","56,89","1,15M","-1,33%"
"15.05.2023","57,90","57,00","58,20","56,75","1,21M","3,10%"
"12.05.2023","56,16","55,97","56,47","55,50","672,80K","0,39%"
"11.05.2023","55,94","54,88","56,51","54,88","951,31K","0,77%"
"10.05.2023","55,51","56,70","56,72","54,56","878,87K","-0,88%"
"09.05.2023","56,00","54,72","56,19","54,50","1,32M","1,76%"
"08.05.2023","55,03","55,84","56,10","54,28","946,11K","-0,79%"
"05.05.2023","55,47","54,80","55,89","54,56","767,48K","2,61%"
"04.05.2023","54,06","54,90","55,11","53,42","1,20M","-2,65%"
"03.05.2023","55,53","56,83","57,10","55,29","1,11M","-1,46%"
"02.05.2023","56,35","57,00","57,98","54,95","1,53M","-0,62%"
"01.05.2023","56,70","56,33","57,36","56,31","1,03M","0,60%"
"28.04.2023","56,36","55,27","56,68","55,03","796,99K","1,81%"
"27.04.2023","55,36","55,80","55,80","54,47","794,15K","2,23%"
"26.04.2023","54,15","54,34","55,25","54,12","710,26K","0,24%"
"25.04.2023","54,02","54,74","55,12","53,83","659,86K","-2,47%"
"24.04.2023","55,39","55,88","56,40","55,19","593,73K","-0,77%"
"21.04.2023","55,82","55,22","55,92","54,76","977,70K","1,00%"
"20.04.2023","55,27","55,72","55,87","54,97","537,22K","-0,97%"
"19.04.2023","55,81","55,62","55,99","55,17","549,49K","-0,89%"
"18.04.2023","56,31","56,58","56,79","55,95","597,67K","0,18%"
"17.04.2023","56,21","55,42","56,44","55,24","552,20K","1,46%"
"14.04.2023","55,40","55,85","56,56","55,20","883,24K","-0,66%"
"13.04.2023","55,77","55,70","56,25","55,01","885,22K","0,49%"
"12.04.2023","55,50","55,15","55,92","54,20","1,69M","2,83%"
"11.04.2023","53,97","55,26","55,41","53,92","869,76K","-1,69%"
"10.04.2023","54,90","54,43","55,33","54,28","539,18K","0,46%"
"06.04.2023","54,65","54,17","55,18","53,72","1,34M","1,15%"
"05.04.2023","54,03","54,94","55,25","53,56","1,51M","-2,46%"
"04.04.2023","55,39","56,56","56,62","55,10","1,33M","-1,51%"
"03.04.2023","56,24","56,70","56,94","55,59","1,27M","0,02%"
