"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","107,32","105,69","107,56","105,69","38,40M","-0,74%"
"23.05.2023","108,12","107,25","110,99","107,19","72,88M","0,11%"
"22.05.2023","108,00","104,68","108,79","103,49","65,11M","2,06%"
"19.05.2023","105,82","106,36","107,29","104,62","67,88M","-1,95%"
"18.05.2023","107,93","103,98","108,10","103,93","73,95M","4,03%"
"17.05.2023","103,75","101,79","104,14","100,05","75,24M","2,24%"
"16.05.2023","101,48","97,39","103,28","97,31","90,62M","4,19%"
"15.05.2023","97,40","95,20","97,43","93,45","51,38M","2,25%"
"12.05.2023","95,26","96,83","97,45","93,68","53,83M","-1,89%"
"11.05.2023","97,10","98,15","99,19","96,14","57,06M","0,08%"
"10.05.2023","97,02","96,42","99,94","96,12","95,62M","2,06%"
"09.05.2023","95,06","94,89","96,16","93,43","68,68M","0,02%"
"08.05.2023","95,04","89,99","95,65","89,17","95,50M","5,79%"
"05.05.2023","89,84","84,99","90,43","84,72","78,49M","3,73%"
"04.05.2023","86,61","81,57","91,64","81,11","121,61M","6,11%"
"03.05.2023","81,62","83,54","85,48","81,02","109,09M","-9,22%"
"02.05.2023","89,91","89,32","90,46","88,12","70,48M","0,25%"
"01.05.2023","89,69","91,03","91,04","88,61","59,14M","0,36%"
"28.04.2023","89,37","87,02","89,75","86,44","50,69M","2,21%"
"27.04.2023","87,44","86,41","87,57","84,09","52,69M","1,75%"
"26.04.2023","85,94","86,51","87,35","85,32","47,62M","2,55%"
"25.04.2023","83,80","86,90","87,06","83,76","51,92M","-4,31%"
"24.04.2023","87,57","88,11","88,64","86,34","40,35M","-0,97%"
"21.04.2023","88,43","89,80","89,80","88,06","41,12M","-1,86%"
"20.04.2023","90,11","88,82","91,58","88,73","47,08M","0,19%"
"19.04.2023","89,94","88,51","90,54","88,22","36,90M","0,18%"
"18.04.2023","89,78","91,61","92,16","89,33","45,79M","-0,10%"
"17.04.2023","89,87","90,23","90,69","88,30","47,25M","-2,05%"
"14.04.2023","91,75","91,82","92,97","90,50","38,74M","-0,37%"
"13.04.2023","92,09","92,79","93,16","91,83","40,48M","-0,26%"
"12.04.2023","92,33","94,97","95,00","91,74","53,14M","-1,81%"
"11.04.2023","94,03","96,06","96,07","92,69","51,60M","-1,52%"
"10.04.2023","95,48","91,32","95,79","91,02","52,26M","3,26%"
"06.04.2023","92,47","91,47","92,91","90,62","47,78M","-0,10%"
"05.04.2023","92,56","94,35","94,50","91,36","52,57M","-3,45%"
"04.04.2023","95,87","97,04","97,27","95,21","43,12M","-0,71%"
"03.04.2023","96,56","96,69","96,79","94,81","50,46M","-1,48%"
"31.03.2023","98,01","96,34","98,36","95,27","55,86M","0,13%"
"30.03.2023","97,88","98,00","99,53","97,25","58,37M","1,86%"
"29.03.2023","96,09","96,07","96,91","94,87","55,33M","1,62%"
"28.03.2023","94,56","96,77","96,94","92,87","58,50M","-2,12%"
"27.03.2023","96,61","98,02","98,93","95,43","57,31M","-1,37%"
"24.03.2023","97,95","99,18","99,52","96,74","64,74M","-2,32%"
"23.03.2023","100,28","100,05","102,43","98,67","83,31M","2,77%"
"22.03.2023","97,58","95,65","101,70","95,64","110,48M","1,72%"
"21.03.2023","95,93","97,00","99,46","93,64","85,13M","-0,91%"
"20.03.2023","96,81","96,30","96,94","92,90","91,85M","-1,05%"
"17.03.2023","97,84","96,66","98,75","95,94","94,08M","1,28%"
"16.03.2023","96,60","89,72","96,69","89,02","115,98M","7,72%"
"15.03.2023","89,68","86,77","90,42","86,21","85,42M","2,55%"
"14.03.2023","87,45","83,67","88,30","83,59","66,41M","6,63%"
"13.03.2023","82,01","81,39","83,83","78,51","65,27M","-0,80%"
"10.03.2023","82,67","84,47","85,45","81,63","70,27M","-1,62%"
"09.03.2023","84,03","85,29","87,81","83,59","79,29M","-1,57%"
"08.03.2023","85,37","82,79","85,77","82,28","69,53M","3,97%"
"07.03.2023","82,11","81,07","84,85","80,67","70,96M","1,17%"
