"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","158,66","160,12","161,66","157,76","26,46M","-2,92%"
"23.05.2023","163,44","160,36","163,76","159,86","24,63M","2,10%"
"22.05.2023","160,08","158,32","161,01","157,82","48,76M","0,41%"
"19.05.2023","159,42","158,60","160,38","157,48","38,19M","0,86%"
"18.05.2023","158,06","157,76","159,28","157,58","24,19M","1,35%"
"17.05.2023","155,96","153,32","156,24","152,80","19,26M","1,01%"
"16.05.2023","154,40","155,22","156,58","154,06","65,61M","-0,40%"
"15.05.2023","155,02","155,80","155,98","153,48","14,46M","0,73%"
"12.05.2023","153,90","154,96","155,68","153,66","21,70M","0,27%"
"11.05.2023","153,48","153,70","154,94","150,82","37,46M","0,17%"
"10.05.2023","153,22","154,04","156,12","152,68","100,46M","-0,23%"
"09.05.2023","153,58","154,44","156,06","152,90","59,03M","0,22%"
"05.05.2023","153,24","149,42","153,86","149,42","35,10M","3,37%"
"04.05.2023","148,24","152,18","153,78","146,74","40,87M","-3,28%"
"03.05.2023","153,26","156,38","156,42","151,74","72,77M","-1,08%"
"02.05.2023","154,94","158,14","162,04","154,48","49,67M","-3,09%"
"28.04.2023","159,88","160,38","162,88","156,94","40,60M","-1,33%"
"27.04.2023","162,04","156,22","162,47","155,40","78,13M","5,32%"
"26.04.2023","153,86","151,46","154,48","149,68","48,88M","1,58%"
"25.04.2023","151,46","153,52","154,24","150,84","41,23M","-1,78%"
"24.04.2023","154,20","152,30","155,03","152,08","36,07M","0,63%"
"21.04.2023","153,24","153,34","154,52","152,18","34,26M","-0,79%"
"20.04.2023","154,46","156,26","158,02","154,10","50,86M","-0,60%"
"19.04.2023","155,40","154,62","156,06","154,26","23,36M","0,28%"
"18.04.2023","154,96","155,60","157,22","154,96","34,56M","0,44%"
"17.04.2023","154,28","158,92","159,08","153,58","48,32M","-2,28%"
"14.04.2023","157,88","153,70","158,58","153,04","100,42M","3,23%"
"13.04.2023","152,94","152,58","154,59","152,22","67,69M","-0,08%"
"12.04.2023","153,06","153,38","154,60","152,70","74,02M","0,34%"
"11.04.2023","152,54","151,78","154,18","151,74","155,08M","0,61%"
"06.04.2023","151,62","148,56","152,26","148,44","77,23M","2,64%"
"05.04.2023","147,72","148,40","150,22","147,06","79,18M","0,83%"
"04.04.2023","146,50","148,54","150,22","146,50","83,72M","-1,19%"
"03.04.2023","148,26","146,66","149,96","146,46","57,70M","1,69%"
"31.03.2023","145,80","143,94","147,04","143,93","69,33M","0,68%"
"30.03.2023","144,82","142,56","146,48","142,29","110,63M","1,97%"
"29.03.2023","142,02","137,80","142,04","137,60","133,21M","3,53%"
"28.03.2023","137,18","139,00","140,42","135,84","79,40M","0,13%"
"27.03.2023","137,00","137,30","138,76","135,04","87,53M","2,32%"
"24.03.2023","133,90","137,36","138,00","130,06","122,87M","-4,21%"
"23.03.2023","139,78","141,10","144,44","139,64","75,55M","-2,02%"
"22.03.2023","142,66","141,42","148,01","140,68","94,37M","-0,34%"
"21.03.2023","143,14","139,18","145,14","138,76","98,94M","4,97%"
"20.03.2023","136,36","131,58","138,04","128,12","146,71M","-2,29%"
"17.03.2023","139,56","142,42","145,54","137,74","141,92M","-1,98%"
"16.03.2023","142,38","142,00","143,80","139,80","157,16M","2,99%"
"15.03.2023","138,24","151,00","152,50","138,06","149,42M","-9,09%"
"14.03.2023","152,06","147,24","155,48","146,20","101,27M","3,11%"
"13.03.2023","147,48","157,00","157,54","146,06","136,69M","-6,31%"
"10.03.2023","157,42","163,76","163,76","151,28","103,04M","-3,67%"
"09.03.2023","163,42","167,30","167,85","162,36","49,01M","-3,23%"
"08.03.2023","168,88","168,10","198,86","167,96","53,96M","-0,02%"
"07.03.2023","168,92","171,92","173,02","168,70","40,26M","-1,98%"
"06.03.2023","172,34","171,48","172,46","170,56","12,62M","0,50%"
"03.03.2023","171,48","171,96","173,40","170,56","28,45M","-0,16%"
"02.03.2023","171,76","174,18","175,10","171,60","47,50M","-1,53%"
"01.03.2023","174,42","175,50","176,80","173,68","66,39M","-0,13%"
"28.02.2023","174,64","171,08","175,42","171,00","76,49M","1,16%"
"27.02.2023","172,64","171,40","173,18","171,40","58,94M","1,21%"
"24.02.2023","170,58","173,00","174,48","170,31","37,35M","-1,17%"
"23.02.2023","172,60","168,42","174,88","168,08","40,37M","-0,13%"
"22.02.2023","172,82","170,32","173,18","168,74","34,87M","0,82%"
"21.02.2023","171,42","176,04","176,22","171,42","114,56M","-2,54%"
"20.02.2023","175,88","174,40","176,70","173,76","35,02M","1,37%"
"17.02.2023","173,50","173,32","176,40","172,28","64,07M","-0,66%"
"16.02.2023","174,66","172,34","175,36","170,58","48,12M","1,19%"
"15.02.2023","172,60","175,00","176,98","167,58","144,31M","-7,86%"
"14.02.2023","187,32","186,58","188,96","186,00","21,57M","0,54%"
"13.02.2023","186,32","186,60","187,56","185,44","21,77M","0,32%"
"10.02.2023","185,72","187,28","188,86","185,42","46,43M","-2,05%"
"09.02.2023","189,60","189,56","193,18","189,40","158,42M","-0,06%"
"08.02.2023","189,72","189,40","190,38","188,48","20,08M","0,47%"
"07.02.2023","188,84","187,64","190,10","186,58","27,10M","1,23%"
"06.02.2023","186,54","187,60","188,75","185,64","17,79M","-1,11%"
"03.02.2023","188,64","187,36","188,96","185,80","21,28M","0,13%"
"02.02.2023","188,40","186,36","188,72","185,30","26,78M","1,03%"
"01.02.2023","186,48","185,84","187,03","183,24","28,46M","0,34%"
"31.01.2023","185,84","185,72","186,48","183,48","30,87M","-0,44%"
"30.01.2023","186,66","184,70","186,78","183,14","33,37M","0,47%"
"27.01.2023","185,78","185,76","185,98","184,30","21,99M","0,40%"
"26.01.2023","185,04","182,52","185,26","182,18","108,54M","1,83%"
"25.01.2023","181,72","179,00","181,72","178,60","59,08M","1,09%"
"24.01.2023","179,76","180,92","181,18","178,86","41,75M","-0,07%"
"23.01.2023","179,88","178,56","180,24","178,56","24,14M","0,82%"
"20.01.2023","178,42","177,94","179,20","176,71","27,69M","0,59%"
"19.01.2023","177,38","178,86","179,72","175,84","53,12M","-2,59%"
"18.01.2023","182,10","180,34","182,84","179,88","55,82M","0,64%"
"17.01.2023","180,94","181,00","182,86","180,16","31,06M","-0,85%"
"16.01.2023","182,50","178,84","182,50","178,72","19,75M","0,97%"
"13.01.2023","180,74","177,88","180,98","176,92","41,02M","2,07%"
"12.01.2023","177,08","174,24","178,00","174,24","28,38M","2,04%"
"11.01.2023","173,54","171,04","174,40","171,04","119,07M","1,13%"
"10.01.2023","171,60","170,18","172,66","170,02","49,37M","-0,59%"
"09.01.2023","172,62","172,10","174,16","171,88","32,89M","0,30%"
"06.01.2023","172,10","171,82","172,70","171,34","23,14M","-0,19%"
"05.01.2023","172,42","167,18","173,74","166,36","39,57M","2,58%"
"04.01.2023","168,08","164,10","168,29","164,10","28,64M","2,74%"
"03.01.2023","163,60","159,52","164,31","159,08","34,36M","3,20%"
"30.12.2022","158,52","158,56","159,74","158,20","9,08M","-0,51%"
"29.12.2022","159,34","158,14","159,34","157,04","17,22M","0,29%"
"28.12.2022","158,88","158,24","159,66","157,44","15,88M","0,72%"
"23.12.2022","157,74","157,14","158,36","156,64","5,97M","0,38%"
"22.12.2022","157,14","158,08","159,00","157,14","18,65M","-0,59%"
"21.12.2022","158,08","156,30","158,38","155,06","25,96M","1,50%"
"20.12.2022","155,74","154,00","156,54","153,62","20,72M","0,23%"
"19.12.2022","155,38","154,84","156,56","154,38","14,57M","0,62%"
"16.12.2022","154,42","154,34","155,74","152,10","107,35M","-0,50%"
"15.12.2022","155,20","159,34","159,68","155,20","32,61M","-3,16%"
"14.12.2022","160,26","162,84","162,84","160,04","42,47M","-0,94%"
"13.12.2022","161,78","158,92","161,82","157,96","42,07M","2,30%"
"12.12.2022","158,14","159,88","160,22","156,94","33,71M","-0,84%"
"09.12.2022","159,48","156,70","159,48","156,14","22,04M","1,71%"
"08.12.2022","156,80","157,40","157,91","156,58","19,60M","-0,41%"
"07.12.2022","157,44","158,00","159,52","155,96","24,68M","-0,83%"
"06.12.2022","158,76","157,26","160,62","155,64","80,03M","1,59%"
"05.12.2022","156,28","156,36","158,86","156,02","23,76M","-0,34%"
"02.12.2022","156,82","159,06","159,10","155,86","28,63M","-0,92%"
"01.12.2022","158,28","161,96","162,32","158,18","26,57M","-1,84%"
"30.11.2022","161,24","161,78","162,80","160,35","79,24M","0,15%"
"29.11.2022","161,00","157,28","161,78","157,22","30,07M","1,78%"
"28.11.2022","158,18","158,36","160,78","157,88","23,42M","-0,55%"
"25.11.2022","159,06","159,62","160,22","158,06","17,58M","-0,23%"
"24.11.2022","159,42","158,08","160,56","158,08","14,00M","0,72%"
"23.11.2022","158,28","157,66","158,66","156,92","12,82M","0,23%"
"22.11.2022","157,92","159,12","159,30","157,12","15,34M","-0,01%"
"21.11.2022","157,94","157,76","158,48","156,82","13,61M","-0,18%"
"18.11.2022","158,22","156,88","159,18","156,06","22,11M","1,00%"
"17.11.2022","156,66","155,22","157,02","153,52","27,73M","1,46%"
"16.11.2022","154,40","155,84","156,50","153,94","18,85M","-1,79%"
"15.11.2022","157,22","156,62","157,36","155,32","22,40M","-0,25%"
"14.11.2022","157,62","156,78","158,74","155,20","26,79M","-0,38%"
"11.11.2022","158,22","157,02","159,83","156,46","51,71M","0,78%"
"10.11.2022","157,00","153,72","157,46","153,00","35,82M","1,68%"
"09.11.2022","154,40","154,42","155,40","152,96","21,65M","0,14%"
"08.11.2022","154,18","153,12","155,94","152,82","55,59M","1,04%"
"07.11.2022","152,60","152,90","155,53","151,76","23,16M","-0,60%"
"04.11.2022","153,52","151,02","154,62","150,30","33,28M","2,68%"
"03.11.2022","149,52","148,78","150,16","146,88","23,17M","-0,39%"
"02.11.2022","150,10","150,58","151,86","148,08","19,47M","-0,16%"
"01.11.2022","150,34","149,36","151,88","148,68","27,02M","1,75%"
"31.10.2022","147,76","147,08","149,12","146,64","24,29M","0,90%"
"28.10.2022","146,44","146,98","148,35","144,88","22,43M","-2,54%"
"27.10.2022","150,26","150,02","151,32","148,14","23,83M","0,29%"
"26.10.2022","149,82","150,92","152,22","147,58","63,25M","-0,27%"
"25.10.2022","150,22","149,60","150,30","146,04","24,44M","0,86%"
"24.10.2022","148,94","145,88","150,84","145,44","29,79M","2,69%"
"21.10.2022","145,04","143,74","146,20","141,90","25,37M","-0,21%"
"20.10.2022","145,34","143,60","148,50","142,20","69,40M","0,72%"
"19.10.2022","144,30","145,60","147,28","143,22","27,46M","-2,17%"
"18.10.2022","147,50","147,74","150,16","147,08","30,51M","1,44%"
"17.10.2022","145,40","142,78","147,26","142,62","29,66M","1,81%"
"14.10.2022","142,82","145,00","148,88","142,54","51,39M","0,20%"
"13.10.2022","142,54","135,32","143,80","134,46","64,60M","5,06%"
"12.10.2022","135,68","138,00","138,38","132,06","64,22M","-3,20%"
"11.10.2022","140,16","142,04","142,40","139,56","39,32M","-2,15%"
"10.10.2022","143,24","142,28","145,16","142,28","27,46M","-0,17%"
"07.10.2022","143,48","144,80","146,06","142,60","32,47M","-0,91%"
"06.10.2022","144,80","148,56","149,20","144,12","31,98M","-1,91%"
"05.10.2022","147,62","149,82","151,37","145,60","36,55M","-2,07%"
"04.10.2022","150,74","146,50","151,06","146,08","43,35M","3,90%"
"03.10.2022","145,08","143,46","146,12","141,26","51,70M","0,54%"
"30.09.2022","144,30","144,04","147,62","141,68","74,92M","-0,25%"
"29.09.2022","144,66","150,26","150,54","142,72","63,77M","-4,25%"
"28.09.2022","151,08","153,50","154,34","146,50","83,37M","-3,05%"
"27.09.2022","155,84","161,02","162,24","155,52","54,46M","-3,10%"
"26.09.2022","160,82","160,50","161,98","156,68","52,87M","-0,64%"
"23.09.2022","161,86","165,38","167,42","160,62","50,82M","-2,65%"
"22.09.2022","166,26","165,12","170,71","164,72","64,01M","-0,92%"
"21.09.2022","167,80","169,12","172,42","165,02","59,97M","-1,83%"
"20.09.2022","170,92","171,14","174,38","170,30","41,48M","-0,13%"
"16.09.2022","171,14","171,72","173,44","170,60","114,74M","-0,64%"
"15.09.2022","172,24","169,70","172,64","169,64","41,99M","1,38%"
"14.09.2022","169,90","170,42","172,76","169,08","41,41M","-1,19%"
"13.09.2022","171,94","174,32","175,82","171,60","43,64M","-1,16%"
"12.09.2022","173,96","168,50","175,26","167,64","48,88M","3,03%"
"09.09.2022","168,84","166,00","170,00","165,34","41,33M","1,55%"
"08.09.2022","166,26","164,28","167,30","162,86","43,91M","1,32%"
"07.09.2022","164,10","166,02","166,70","163,60","46,02M","-2,25%"
"06.09.2022","167,88","167,38","171,65","166,58","37,12M","0,83%"
"05.09.2022","166,50","163,96","167,12","163,80","26,22M","-1,27%"
"02.09.2022","168,64","161,96","169,45","161,44","51,13M","4,49%"
"01.09.2022","161,40","163,86","164,06","160,46","34,21M","-1,88%"
"31.08.2022","164,50","165,66","166,96","164,14","50,68M","-0,12%"
"30.08.2022","164,70","161,72","168,08","161,24","48,68M","1,60%"
"26.08.2022","162,10","165,40","166,70","162,04","30,33M","-1,25%"
"25.08.2022","164,16","164,00","165,16","163,08","26,85M","0,95%"
"24.08.2022","162,62","162,80","163,98","160,64","31,65M","-0,60%"
"23.08.2022","163,60","162,30","165,14","162,17","30,03M","0,32%"
"22.08.2022","163,08","164,00","164,79","161,78","35,91M","-1,33%"
"19.08.2022","165,28","168,04","169,22","164,91","52,68M","-1,91%"
"18.08.2022","168,50","168,60","169,46","167,46","25,18M","-0,11%"
"17.08.2022","168,68","171,34","173,36","168,54","20,61M","-1,07%"
"16.08.2022","170,50","172,06","172,20","169,88","26,59M","-0,62%"
"15.08.2022","171,56","172,22","172,30","170,72","42,94M","-0,02%"
"12.08.2022","171,60","169,90","172,92","169,10","50,83M","1,55%"
"11.08.2022","168,98","169,02","170,14","167,50","47,10M","-0,46%"
"10.08.2022","169,76","166,00","170,10","165,42","81,86M","2,35%"
"09.08.2022","165,86","165,14","167,70","164,64","46,92M","-0,08%"
"08.08.2022","166,00","165,50","166,92","164,74","56,66M","1,22%"
"05.08.2022","164,00","161,90","165,43","161,02","42,85M","0,94%"
