"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","102,600","103,900","104,360","102,120","","-1,80%"
"23.05.2023","104,480","104,100","104,640","103,620","822,41K","0,42%"
"22.05.2023","104,040","103,420","104,240","103,040","730,02K","0,64%"
"19.05.2023","103,380","102,640","104,000","102,560","1,38M","0,86%"
"18.05.2023","102,500","100,500","102,820","100,480","1,04M","2,36%"
"17.05.2023","100,140","99,110","100,360","99,100","739,11K","0,57%"
"16.05.2023","99,570","99,960","100,060","98,700","896,96K","-0,51%"
"15.05.2023","100,080","99,880","100,500","99,580","1,00M","0,67%"
"12.05.2023","99,410","100,180","101,120","99,250","2,05M","-8,29%"
"11.05.2023","108,400","108,700","108,900","107,660","1,88M","-0,29%"
"10.05.2023","108,720","109,320","109,480","107,580","1,06M","0,00%"
"09.05.2023","108,720","109,020","109,540","108,240","1,13M","-0,18%"
"08.05.2023","108,920","107,540","109,840","107,360","1,30M","1,28%"
"05.05.2023","107,540","104,000","107,840","103,380","1,70M","3,60%"
"04.05.2023","103,800","102,420","103,800","100,140","1,84M","2,75%"
"03.05.2023","101,020","101,140","101,420","100,060","956,96K","0,44%"
"02.05.2023","100,580","102,000","102,680","99,920","1,20M","-0,85%"
"28.04.2023","101,440","101,300","102,120","98,200","1,49M","0,79%"
"27.04.2023","100,640","101,020","102,560","100,520","856,42K","-0,36%"
"26.04.2023","101,000","101,620","101,700","100,260","850,34K","-0,43%"
"25.04.2023","101,440","101,300","102,020","100,960","755,35K","0,28%"
"24.04.2023","101,160","100,660","101,640","100,280","637,32K","0,56%"
"21.04.2023","100,600","100,520","101,260","99,380","1,28M","0,58%"
"20.04.2023","100,020","103,400","103,400","98,940","2,04M","-3,62%"
"19.04.2023","103,780","103,920","104,040","102,880","677,74K","-0,31%"
"18.04.2023","104,100","103,500","104,340","103,100","980,64K","0,87%"
"17.04.2023","103,200","104,060","104,480","102,240","1,06M","-0,46%"
"14.04.2023","103,680","102,900","104,180","102,640","846,09K","1,33%"
"13.04.2023","102,320","102,580","103,220","101,820","849,01K","-0,35%"
"12.04.2023","102,680","101,200","103,480","101,140","1,03M","1,74%"
"11.04.2023","100,920","99,690","101,060","99,690","1,16M","2,33%"
"06.04.2023","98,620","98,500","99,100","97,730","1,06M","-0,47%"
"05.04.2023","99,090","101,500","101,800","98,720","1,34M","-2,22%"
"04.04.2023","101,340","101,180","102,880","101,180","1,03M","0,60%"
"03.04.2023","100,740","101,000","101,560","100,620","691,78K","-0,20%"
"31.03.2023","100,940","101,000","101,240","100,300","1,13M","0,26%"
"30.03.2023","100,680","99,170","100,800","99,140","886,55K","1,77%"
"29.03.2023","98,930","98,700","99,130","97,630","960,17K","0,14%"
"28.03.2023","98,790","99,490","99,840","98,580","679,68K","0,14%"
"27.03.2023","98,650","98,880","99,470","97,820","859,59K","0,91%"
"24.03.2023","97,760","98,630","98,630","96,280","1,43M","-1,08%"
"23.03.2023","98,830","98,200","99,040","96,880","804,67K","0,64%"
"22.03.2023","98,200","97,390","98,980","97,250","886,72K","0,88%"
"21.03.2023","97,340","96,900","97,800","96,730","937,65K","1,81%"
"20.03.2023","95,610","94,850","96,130","92,370","1,15M","0,80%"
"17.03.2023","94,850","95,760","97,310","93,830","4,50M","-0,96%"
"16.03.2023","95,770","96,250","96,450","93,910","1,61M","1,14%"
"15.03.2023","94,690","96,110","97,200","92,540","2,14M","-0,95%"
"14.03.2023","95,600","94,650","95,870","93,300","1,74M","1,01%"
"13.03.2023","94,640","97,840","98,080","93,770","1,72M","-3,75%"
"10.03.2023","98,330","96,040","98,330","96,000","1,64M","-1,21%"
"09.03.2023","99,530","102,180","103,700","97,250","2,22M","-1,42%"
"08.03.2023","100,960","100,760","101,680","100,420","928,10K","-0,04%"
"07.03.2023","101,000","101,400","101,700","100,800","824,73K","-0,45%"
"06.03.2023","101,460","101,420","101,900","100,960","645,34K","-0,02%"
"03.03.2023","101,480","99,500","102,020","99,350","1,38M","2,14%"
"02.03.2023","99,350","98,890","99,350","97,590","839,28K","0,01%"
"01.03.2023","99,340","98,290","100,620","98,220","1,21M","1,63%"
"28.02.2023","97,750","97,950","98,740","97,010","1,19M","-0,42%"
"27.02.2023","98,160","98,340","98,840","97,850","801,42K","1,00%"
"24.02.2023","97,190","99,860","99,920","97,190","2,06M","-2,47%"
"23.02.2023","99,650","98,710","100,040","98,530","805,80K","1,24%"
"22.02.2023","98,430","98,300","98,750","97,660","787,10K","-0,27%"
"21.02.2023","98,700","99,590","99,670","97,970","797,87K","-0,97%"
