"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","274,50","277,00","277,50","272,00","199,92K","-3,00%"
"23.05.2023","283,00","270,50","283,00","270,50","170,17K","1,07%"
"22.05.2023","280,00","287,00","287,00","276,50","189,38K","0,54%"
"19.05.2023","278,50","278,00","281,00","275,50","286,47K","1,27%"
"18.05.2023","275,00","273,45","278,00","273,45","243,04K","0,00%"
"17.05.2023","275,00","272,00","275,00","270,55","226,77K","0,92%"
"16.05.2023","272,50","271,50","275,50","271,50","134,49K","-0,91%"
"15.05.2023","275,00","285,00","285,00","271,00","256,93K","-0,54%"
"12.05.2023","276,50","263,50","277,00","261,00","222,60K","1,84%"
"11.05.2023","271,50","266,51","275,50","266,51","193,10K","-0,91%"
"10.05.2023","274,00","279,00","280,50","272,50","226,56K","-0,36%"
"09.05.2023","275,00","279,84","279,84","273,55","1,47M","-0,36%"
"05.05.2023","276,00","268,50","276,00","268,10","356,72K","3,37%"
"04.05.2023","267,00","272,80","275,00","266,00","252,71K","-2,55%"
"03.05.2023","274,00","277,00","277,63","273,00","293,88K","-0,36%"
"02.05.2023","275,00","280,00","283,50","272,94","373,46K","-2,31%"
"28.04.2023","281,50","298,41","298,41","276,50","530,63K","-3,10%"
"27.04.2023","290,50","290,00","292,50","288,00","233,55K","0,69%"
"26.04.2023","288,50","291,50","293,00","285,00","411,54K","-1,70%"
"25.04.2023","293,50","314,13","314,13","293,50","782,97K","-7,56%"
"24.04.2023","317,50","312,00","317,50","309,94","235,20K","0,79%"
"21.04.2023","315,00","314,45","315,00","309,50","464,41K","0,00%"
"20.04.2023","315,00","323,10","326,88","314,13","327,73K","-0,79%"
"19.04.2023","317,50","315,50","320,50","315,13","132,79K","-1,24%"
"18.04.2023","321,50","313,86","321,50","313,86","271,86K","1,90%"
"17.04.2023","315,50","320,58","321,00","311,56","239,69K","-1,41%"
"14.04.2023","320,00","307,62","320,00","306,50","361,47K","4,75%"
"13.04.2023","305,50","305,54","308,00","303,50","230,60K","0,00%"
"12.04.2023","305,50","303,50","309,50","302,50","610,54K","1,33%"
"11.04.2023","301,50","310,50","312,00","300,00","347,32K","-2,11%"
"06.04.2023","308,00","302,50","309,50","301,50","361,84K","2,67%"
"05.04.2023","300,00","302,38","304,00","296,50","321,19K","-0,50%"
"04.04.2023","301,50","308,17","308,17","301,07","585,95K","-0,50%"
"03.04.2023","303,00","310,00","310,00","301,00","389,23K","0,90%"
"31.03.2023","300,30","304,10","305,95","300,30","446,38K","-1,78%"
"30.03.2023","305,75","299,35","307,50","298,54","453,60K","2,86%"
"29.03.2023","297,25","294,47","298,45","293,75","427,89K","1,49%"
"28.03.2023","292,90","292,44","295,33","290,22","486,03K","1,17%"
"27.03.2023","289,50","291,05","293,80","285,42","465,63K","1,38%"
"24.03.2023","285,55","286,65","291,40","274,50","777,13K","-2,89%"
"23.03.2023","294,05","307,59","307,59","293,00","452,57K","-2,70%"
"22.03.2023","302,20","299,35","307,25","296,80","401,79K","1,60%"
"21.03.2023","297,45","280,00","300,70","280,00","497,04K","5,35%"
"20.03.2023","282,35","268,15","285,10","257,39","837,26K","1,47%"
"17.03.2023","278,25","291,55","296,55","271,85","615,34K","-4,22%"
"16.03.2023","290,50","286,45","296,20","280,80","513,43K","3,25%"
"15.03.2023","281,35","305,65","305,65","275,05","1,14M","-7,56%"
"14.03.2023","304,35","290,95","306,50","290,20","835,83K","3,10%"
"13.03.2023","295,20","312,50","318,85","290,04","1,33M","-7,66%"
"10.03.2023","319,70","338,70","338,70","307,30","889,48K","-5,53%"
"09.03.2023","338,40","338,80","339,25","326,22","485,35K","-0,38%"
"08.03.2023","339,70","333,04","343,50","332,00","366,42K","1,30%"
"07.03.2023","335,35","341,10","343,49","335,35","453,87K","-1,80%"
"06.03.2023","341,50","329,55","342,65","329,55","633,08K","3,06%"
"03.03.2023","331,35","318,45","336,40","318,45","717,33K","1,58%"
"02.03.2023","326,20","324,45","327,00","321,45","680,74K","-0,06%"
"01.03.2023","326,40","329,26","333,27","325,95","876,45K","0,23%"
"28.02.2023","325,65","307,27","328,50","307,27","1,28M","2,55%"
"27.02.2023","317,55","316,71","317,55","309,35","507,49K","2,98%"
"24.02.2023","308,35","310,60","314,10","307,73","576,26K","-0,79%"
"23.02.2023","310,80","306,75","310,80","305,85","693,14K","1,82%"
"22.02.2023","305,25","307,89","308,70","303,60","444,00K","-1,99%"
"21.02.2023","311,45","311,45","312,30","304,60","395,36K","-0,02%"
"20.02.2023","311,50","306,61","318,06","306,61","169,53K","-0,48%"
"17.02.2023","313,00","315,50","317,35","312,25","425,03K","-0,89%"
"16.02.2023","315,80","302,05","316,00","302,05","467,20K","2,57%"
"15.02.2023","307,90","309,40","310,90","306,77","917,19K","-0,08%"
"14.02.2023","308,15","299,85","310,00","299,85","550,96K","0,70%"
"13.02.2023","306,00","305,85","308,18","304,70","390,99K","0,41%"
