"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","113,07","117,00","117,18","110,40","655,75K","-2,78%"
"23.05.2023","116,30","107,53","119,00","107,28","2,46M","8,19%"
"22.05.2023","107,50","106,49","108,88","106,10","547,09K","0,95%"
"19.05.2023","106,49","105,34","107,40","104,92","481,05K","1,47%"
"18.05.2023","104,95","105,25","105,60","103,95","604,45K","-0,19%"
"17.05.2023","105,15","108,04","108,42","105,15","943,48K","-0,43%"
"16.05.2023","105,60","106,77","107,32","105,08","487,78K","-2,13%"
"15.05.2023","107,90","104,65","108,27","104,01","728,87K","2,53%"
"12.05.2023","105,24","102,99","106,04","102,60","801,74K","2,59%"
"11.05.2023","102,58","101,50","102,86","100,08","1,08M","-0,02%"
"10.05.2023","102,60","103,00","104,69","101,31","1,52M","-1,99%"
"09.05.2023","104,68","105,92","106,18","101,98","1,41M","-3,12%"
"08.05.2023","108,05","113,02","113,02","107,64","1,21M","-0,35%"
"05.05.2023","108,43","107,64","109,58","106,64","1,22M","0,73%"
"04.05.2023","107,64","110,01","110,94","107,54","790,09K","-2,25%"
"03.05.2023","110,12","109,98","111,19","108,96","511,90K","-0,85%"
"02.05.2023","111,06","111,05","113,31","110,32","417,99K","-0,83%"
"01.05.2023","111,99","112,50","113,33","111,46","436,22K","-1,97%"
"28.04.2023","114,24","110,69","114,90","109,81","729,69K","2,26%"
"27.04.2023","111,72","110,08","111,88","109,43","552,96K","1,01%"
"26.04.2023","110,60","113,86","114,20","109,98","683,68K","-3,19%"
"25.04.2023","114,25","116,00","116,50","114,00","509,19K","-2,29%"
"24.04.2023","116,93","113,84","117,40","111,53","1,19M","-1,14%"
"21.04.2023","118,28","120,39","120,39","117,83","855,65K","-2,20%"
"20.04.2023","120,94","120,76","122,58","120,39","350,81K","-0,70%"
"19.04.2023","121,79","122,40","123,08","120,47","627,79K","-1,14%"
"18.04.2023","123,19","125,00","125,00","122,44","513,72K","-1,25%"
"17.04.2023","124,75","129,00","129,10","124,02","687,32K","-3,79%"
"14.04.2023","129,66","129,10","131,52","128,14","313,54K","0,01%"
"13.04.2023","129,65","126,14","129,78","125,59","435,08K","3,05%"
"12.04.2023","125,81","126,62","128,49","125,76","358,89K","-0,42%"
"11.04.2023","126,34","126,25","127,71","125,54","343,99K","-1,07%"
"10.04.2023","127,71","128,11","128,51","125,96","323,22K","-0,92%"
"06.04.2023","128,90","125,56","128,92","125,21","377,32K","2,63%"
"05.04.2023","125,60","126,00","127,09","125,14","332,68K","-0,21%"
"04.04.2023","125,87","129,60","130,75","125,10","628,19K","-2,83%"
"03.04.2023","129,53","124,15","129,71","124,15","665,16K","3,98%"
"31.03.2023","124,57","121,95","125,05","121,72","805,29K","1,63%"
"30.03.2023","122,57","122,85","123,79","121,26","775,52K","-0,33%"
"29.03.2023","122,97","124,35","125,16","122,59","627,05K","-0,02%"
"28.03.2023","123,00","124,05","125,37","122,19","774,00K","-0,49%"
"27.03.2023","123,60","123,20","128,09","119,98","1,79M","-3,59%"
"24.03.2023","128,20","128,50","129,39","127,23","619,56K","-0,92%"
"23.03.2023","129,39","134,90","135,90","128,00","836,99K","-3,21%"
"22.03.2023","133,68","134,11","136,91","133,25","437,72K","0,26%"
"21.03.2023","133,33","132,24","134,77","132,00","525,93K","0,95%"
"20.03.2023","132,08","128,81","132,32","128,50","469,77K","1,88%"
"17.03.2023","129,64","130,82","132,29","129,52","794,29K","-1,76%"
"16.03.2023","131,96","130,40","132,48","129,18","506,57K","1,55%"
"15.03.2023","129,94","128,28","130,56","128,28","566,66K","-0,34%"
"14.03.2023","130,38","130,70","132,48","129,56","496,28K","0,47%"
"13.03.2023","129,77","124,59","131,24","124,59","514,13K","1,82%"
"10.03.2023","127,45","127,01","129,51","126,25","694,40K","0,13%"
"09.03.2023","127,29","128,99","130,22","127,17","669,10K","-1,23%"
"08.03.2023","128,88","128,62","129,20","127,91","370,23K","-0,11%"
"07.03.2023","129,02","131,02","131,84","129,02","404,47K","-1,92%"
"06.03.2023","131,54","131,00","132,31","130,26","281,68K","0,59%"
"03.03.2023","130,77","128,44","131,79","128,44","507,61K","2,18%"
"02.03.2023","127,98","126,52","128,39","125,44","536,04K","0,39%"
"01.03.2023","127,48","128,29","130,55","126,52","801,51K","-1,98%"
"28.02.2023","130,05","130,15","130,84","129,05","557,31K","-0,62%"
"27.02.2023","130,86","134,00","134,13","130,00","663,64K","-1,84%"
"24.02.2023","133,31","132,39","133,90","129,02","673,78K","-0,80%"
"23.02.2023","134,39","134,02","135,60","130,88","1,03M","-0,18%"
"22.02.2023","134,63","137,72","138,51","134,18","865,85K","-2,11%"
"21.02.2023","137,53","138,96","141,93","137,42","618,32K","-0,79%"
"17.02.2023","138,62","140,05","140,28","137,33","814,92K","-1,96%"
"16.02.2023","141,39","145,92","146,68","141,35","674,80K","-4,22%"
"15.02.2023","147,62","142,50","147,66","142,12","632,97K","2,57%"
"14.02.2023","143,92","143,16","144,40","142,40","462,81K","0,64%"
"13.02.2023","143,00","141,49","143,70","141,20","461,16K","1,05%"
"10.02.2023","141,51","140,50","142,32","140,03","485,71K","0,69%"
"09.02.2023","140,54","141,15","144,19","140,46","615,76K","-0,43%"
"08.02.2023","141,15","140,20","142,35","140,20","627,49K","-0,68%"
"07.02.2023","142,12","140,00","142,14","138,87","375,43K","0,82%"
"06.02.2023","140,96","140,00","142,56","139,26","333,71K","-0,77%"
"03.02.2023","142,06","142,61","145,20","141,89","379,16K","-1,62%"
"02.02.2023","144,40","142,64","144,97","141,83","604,88K","0,94%"
"01.02.2023","143,05","142,02","144,48","139,28","742,51K","-0,25%"
"31.01.2023","143,41","138,05","144,73","138,05","1,25M","2,08%"
"30.01.2023","140,49","142,48","143,02","139,50","676,69K","-2,21%"
"27.01.2023","143,66","141,48","143,94","140,96","436,76K","0,79%"
"26.01.2023","142,54","143,00","143,89","140,33","531,16K","-0,13%"
"25.01.2023","142,73","143,05","144,69","141,63","580,56K","-0,78%"
"24.01.2023","143,85","143,28","144,37","140,70","503,78K","0,08%"
"23.01.2023","143,73","142,33","144,93","141,79","724,99K","0,66%"
"20.01.2023","142,79","141,00","143,41","139,05","1,13M","2,04%"
"19.01.2023","139,94","143,00","144,11","139,66","1,03M","-2,20%"
"18.01.2023","143,09","145,83","147,68","142,82","722,58K","-0,08%"
"17.01.2023","143,20","145,00","145,50","140,91","1,15M","-1,28%"
"13.01.2023","145,05","149,50","150,63","142,09","1,29M","-2,92%"
"12.01.2023","149,41","149,35","149,92","146,25","416,22K","-0,13%"
"11.01.2023","149,61","153,62","153,99","146,77","749,32K","-2,64%"
"10.01.2023","153,67","150,03","154,24","149,31","678,04K","3,30%"
"09.01.2023","148,76","152,22","153,20","148,57","567,46K","-0,89%"
"06.01.2023","150,09","148,50","156,27","145,23","1,07M","3,03%"
"05.01.2023","145,67","145,10","146,40","143,60","849,64K","-0,31%"
"04.01.2023","146,13","149,97","150,57","145,76","938,79K","-1,70%"
"03.01.2023","148,65","152,94","155,29","148,50","728,64K","-1,05%"
"30.12.2022","150,22","150,45","151,00","146,00","934,86K","-1,89%"
"29.12.2022","153,11","152,97","156,24","152,70","571,48K","0,93%"
"28.12.2022","151,70","157,85","159,26","151,70","958,26K","-5,10%"
"27.12.2022","159,86","175,76","176,67","159,47","1,29M","-9,15%"
"23.12.2022","175,97","179,68","179,98","173,11","760,33K","-2,17%"
"22.12.2022","179,88","177,23","180,40","174,11","776,90K","0,97%"
"21.12.2022","178,15","172,60","178,62","170,99","818,61K","3,16%"
"20.12.2022","172,70","166,25","174,99","165,50","679,38K","2,46%"
"19.12.2022","168,56","175,96","177,75","167,70","927,68K","-3,82%"
"16.12.2022","175,25","178,70","183,64","174,84","883,27K","-3,73%"
"15.12.2022","182,04","186,29","188,99","179,23","1,58M","-2,16%"
"14.12.2022","186,05","176,89","188,82","174,33","2,01M","4,38%"
"13.12.2022","178,24","174,25","183,44","172,61","2,03M","6,97%"
"12.12.2022","166,62","171,19","171,28","164,81","1,11M","-2,16%"
"09.12.2022","170,30","171,72","173,00","169,29","819,83K","-0,88%"
"08.12.2022","171,81","163,23","171,90","162,38","1,16M","5,64%"
"07.12.2022","162,63","159,56","165,97","159,51","600,08K","0,62%"
"06.12.2022","161,62","166,00","166,00","158,36","1,17M","-3,05%"
"05.12.2022","166,71","168,46","171,36","165,36","984,41K","-1,79%"
"02.12.2022","169,74","167,11","169,89","166,70","721,43K","0,16%"
"01.12.2022","169,47","167,51","170,38","165,17","759,28K","1,47%"
"30.11.2022","167,02","164,31","167,29","163,20","1,06M","2,08%"
"29.11.2022","163,61","162,11","165,51","159,42","935,66K","1,31%"
"28.11.2022","161,49","157,00","166,41","156,51","1,22M","4,29%"
"25.11.2022","154,85","155,21","157,12","154,11","348,32K","-0,88%"
"23.11.2022","156,23","157,50","158,76","155,09","606,62K","-1,58%"
"22.11.2022","158,73","154,98","159,13","151,50","1,03M","0,20%"
"21.11.2022","158,41","163,09","165,04","158,12","800,28K","-4,80%"
"18.11.2022","166,39","165,77","167,07","164,54","647,30K","0,08%"
"17.11.2022","166,26","162,51","166,34","159,37","557,08K","0,82%"
"16.11.2022","164,90","163,90","167,08","163,31","864,35K","0,71%"
"15.11.2022","163,73","161,00","164,81","160,30","940,34K","2,10%"
"14.11.2022","160,37","152,03","161,74","152,03","1,27M","3,79%"
"11.11.2022","154,51","152,39","155,01","146,79","1,48M","-1,54%"
"10.11.2022","156,92","152,26","157,25","152,00","1,81M","-1,67%"
"09.11.2022","159,58","158,55","162,03","158,55","810,79K","-0,85%"
"08.11.2022","160,94","157,28","163,34","156,59","895,77K","0,14%"
"07.11.2022","160,72","152,77","161,54","150,25","2,01M","4,15%"
"04.11.2022","154,31","156,29","156,80","147,35","2,18M","6,24%"
"03.11.2022","145,25","134,50","145,49","133,95","1,12M","2,64%"
"02.11.2022","141,52","143,90","145,68","140,54","591,48K","-1,78%"
"01.11.2022","144,08","143,89","150,00","141,13","945,24K","4,68%"
"31.10.2022","137,64","137,77","141,00","136,92","751,59K","-0,01%"
"28.10.2022","137,65","134,55","138,66","133,50","572,31K","1,53%"
"27.10.2022","135,58","136,17","136,45","133,25","465,37K","-1,10%"
"26.10.2022","137,09","135,20","140,80","134,98","743,80K","1,35%"
"25.10.2022","135,27","133,98","139,88","133,74","707,23K","0,21%"
"24.10.2022","134,99","130,63","135,00","128,32","778,13K","2,54%"
"21.10.2022","131,64","122,00","131,85","121,14","1,62M","11,15%"
"20.10.2022","118,43","122,63","124,55","118,31","1,08M","-3,45%"
"19.10.2022","122,66","131,85","132,34","122,39","1,18M","-8,24%"
"18.10.2022","133,68","139,50","139,50","132,83","859,39K","-3,79%"
"17.10.2022","138,94","137,20","139,56","134,20","651,64K","2,45%"
"14.10.2022","135,62","139,89","140,45","135,01","489,85K","-3,14%"
"13.10.2022","140,01","133,65","142,09","132,10","724,34K","2,46%"
"12.10.2022","136,65","133,89","140,46","133,46","1,17M","5,53%"
"11.10.2022","129,49","134,30","135,12","127,49","641,42K","-4,29%"
"10.10.2022","135,29","134,73","137,16","133,10","615,29K","0,43%"
"07.10.2022","134,71","136,45","138,00","134,34","767,19K","-2,05%"
"06.10.2022","137,53","135,63","139,11","135,63","591,38K","0,25%"
"05.10.2022","137,19","136,50","138,56","135,51","508,36K","-0,28%"
