"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","3,480","3,480","3,490","3,429","","-0,80%"
"23.05.2023","3,508","3,480","3,508","3,459","6,92M","0,89%"
"22.05.2023","3,477","3,397","3,477","3,397","8,14M","2,17%"
"19.05.2023","3,403","3,420","3,451","3,385","6,91M","-0,23%"
"18.05.2023","3,411","3,410","3,428","3,396","6,10M","0,80%"
"17.05.2023","3,384","3,317","3,387","3,307","7,42M","1,59%"
"16.05.2023","3,331","3,345","3,362","3,329","9,28M","-0,89%"
"15.05.2023","3,361","3,395","3,412","3,336","6,59M","0,18%"
"12.05.2023","3,355","3,350","3,376","3,343","7,77M","0,93%"
"11.05.2023","3,324","3,339","3,362","3,281","10,07M","-0,54%"
"10.05.2023","3,342","3,378","3,398","3,325","7,67M","-0,03%"
"09.05.2023","3,343","3,327","3,350","3,287","17,87M","-0,68%"
"08.05.2023","3,366","3,259","3,375","3,237","11,46M","4,79%"
"05.05.2023","3,212","3,183","3,267","3,154","27,16M","1,39%"
"04.05.2023","3,168","3,200","3,210","3,123","11,69M","-1,55%"
"03.05.2023","3,218","3,290","3,302","3,194","12,01M","-1,50%"
"02.05.2023","3,267","3,370","3,395","3,258","11,66M","-2,54%"
"28.04.2023","3,352","3,550","3,550","3,344","17,41M","-5,50%"
"27.04.2023","3,547","3,454","3,549","3,430","10,22M","2,75%"
"26.04.2023","3,452","3,463","3,481","3,378","8,61M","-1,20%"
"25.04.2023","3,494","3,504","3,523","3,467","8,69M","-1,69%"
"24.04.2023","3,554","3,560","3,577","3,532","7,56M","-0,67%"
"21.04.2023","3,578","3,618","3,635","3,564","12,07M","-1,76%"
"20.04.2023","3,642","3,700","3,795","3,641","12,59M","-0,49%"
"19.04.2023","3,660","3,615","3,660","3,581","19,53M","1,30%"
"18.04.2023","3,613","3,556","3,620","3,544","35,16M","2,41%"
"17.04.2023","3,528","3,560","3,585","3,499","75,73M","-0,40%"
"14.04.2023","3,542","3,464","3,543","3,422","36,14M","2,61%"
"13.04.2023","3,452","3,480","3,508","3,366","12,28M","-1,29%"
"12.04.2023","3,497","3,489","3,519","3,463","12,17M","1,36%"
"11.04.2023","3,450","3,537","3,547","3,450","7,18M","-1,23%"
"06.04.2023","3,493","3,439","3,511","3,419","14,27M","-2,40%"
"05.04.2023","3,579","3,610","3,624","3,558","12,46M","-0,56%"
"04.04.2023","3,599","3,623","3,660","3,591","54,95M","-0,25%"
"03.04.2023","3,608","3,628","3,659","3,588","83,13M","0,67%"
"31.03.2023","3,584","3,652","3,665","3,576","31,76M","-1,86%"
"30.03.2023","3,652","3,657","3,679","3,613","7,94M","0,97%"
"29.03.2023","3,617","3,558","3,630","3,549","7,92M","2,12%"
"28.03.2023","3,542","3,580","3,594","3,504","10,19M","0,54%"
"27.03.2023","3,523","3,550","3,606","3,459","19,01M","0,86%"
"24.03.2023","3,493","3,589","3,589","3,402","20,85M","-2,95%"
"23.03.2023","3,599","3,661","3,734","3,591","13,81M","-3,49%"
"22.03.2023","3,729","3,797","3,850","3,725","14,79M","-2,13%"
"21.03.2023","3,810","3,706","3,837","3,680","17,74M","5,19%"
"20.03.2023","3,622","3,460","3,694","3,305","29,41M","3,19%"
"17.03.2023","3,510","3,608","3,696","3,472","45,58M","-2,12%"
"16.03.2023","3,586","3,706","3,850","3,553","25,06M","-1,32%"
"15.03.2023","3,634","3,910","3,929","3,624","27,03M","-6,72%"
"14.03.2023","3,896","3,720","3,930","3,699","19,82M","4,09%"
"13.03.2023","3,743","3,982","3,995","3,680","28,42M","-6,24%"
"10.03.2023","3,992","3,900","4,008","3,871","19,12M","-1,80%"
"09.03.2023","4,065","4,100","4,103","4,056","8,57M","-1,07%"
"08.03.2023","4,109","4,039","4,121","4,038","9,14M","1,31%"
"07.03.2023","4,056","4,130","4,136","4,042","9,66M","-1,74%"
"06.03.2023","4,128","4,082","4,128","4,081","8,12M","1,25%"
"03.03.2023","4,077","4,003","4,077","3,992","8,12M","2,08%"
"02.03.2023","3,994","3,992","4,017","3,948","8,91M","-0,20%"
"01.03.2023","4,002","4,061","4,075","3,991","8,03M","-1,23%"
"28.02.2023","4,052","3,990","4,124","3,970","17,77M","1,30%"
"27.02.2023","4,000","3,938","4,017","3,929","7,08M","1,34%"
"24.02.2023","3,947","3,936","3,960","3,915","7,91M","0,25%"
"23.02.2023","3,937","3,925","3,954","3,889","7,16M","0,54%"
"22.02.2023","3,916","3,997","3,998","3,888","13,21M","-2,51%"
"21.02.2023","4,017","4,050","4,061","3,986","8,03M","-1,16%"
"20.02.2023","4,064","4,120","4,140","4,054","6,55M","-1,14%"
"17.02.2023","4,111","4,072","4,119","4,042","13,43M","0,64%"
"16.02.2023","4,085","4,016","4,089","4,011","9,93M","2,00%"
"15.02.2023","4,005","3,997","4,016","3,943","9,76M","0,15%"
"14.02.2023","3,999","4,013","4,040","3,967","11,56M","-0,65%"
"13.02.2023","4,025","3,990","4,045","3,969","4,78M","1,39%"
"10.02.2023","3,970","4,040","4,041","3,937","12,76M","-1,81%"
"09.02.2023","4,043","4,037","4,123","4,019","15,42M","0,37%"
"08.02.2023","4,028","3,989","4,031","3,957","16,47M","1,59%"
"07.02.2023","3,965","3,972","4,000","3,955","11,64M","0,03%"
"06.02.2023","3,964","3,897","3,981","3,864","14,66M","2,40%"
"03.02.2023","3,871","4,059","4,133","3,779","39,97M","-2,71%"
"02.02.2023","3,979","4,065","4,197","3,926","29,14M","-2,40%"
"01.02.2023","4,077","4,080","4,110","4,051","13,01M","0,25%"
"31.01.2023","4,067","4,047","4,100","4,031","12,64M","0,72%"
"30.01.2023","4,038","4,028","4,061","3,995","7,18M","0,02%"
"27.01.2023","4,037","4,001","4,058","3,986","8,63M","1,15%"
"26.01.2023","3,991","3,961","4,065","3,956","15,21M","1,40%"
"25.01.2023","3,936","3,949","3,971","3,928","6,73M","-0,98%"
"24.01.2023","3,975","3,975","3,985","3,925","5,41M","0,30%"
"23.01.2023","3,963","3,960","4,000","3,951","6,75M","0,10%"
"20.01.2023","3,959","3,886","3,964","3,869","12,83M","2,54%"
"19.01.2023","3,861","3,902","3,902","3,794","19,17M","-1,45%"
"18.01.2023","3,918","3,852","3,987","3,843","12,69M","1,98%"
"17.01.2023","3,842","3,857","3,899","3,823","9,59M","-0,21%"
"16.01.2023","3,850","3,918","3,932","3,850","6,96M","-1,53%"
"13.01.2023","3,910","3,893","3,985","3,869","15,99M","0,96%"
"12.01.2023","3,873","3,842","3,910","3,828","18,70M","1,49%"
"11.01.2023","3,816","3,900","3,911","3,806","9,27M","-1,83%"
"10.01.2023","3,887","3,827","3,888","3,804","9,26M","1,38%"
"09.01.2023","3,834","3,887","3,909","3,822","10,37M","-1,34%"
"06.01.2023","3,886","3,907","3,937","3,886","7,76M","-0,05%"
"05.01.2023","3,888","3,842","3,921","3,812","10,24M","0,70%"
"04.01.2023","3,861","3,838","3,911","3,838","14,23M","0,60%"
"03.01.2023","3,838","3,708","3,838","3,680","12,72M","3,53%"
"02.01.2023","3,707","3,695","3,737","3,680","5,69M","0,95%"
"30.12.2022","3,672","3,643","3,679","3,635","19,32M","0,38%"
"29.12.2022","3,658","3,610","3,680","3,600","5,72M","0,14%"
"28.12.2022","3,653","3,660","3,669","3,616","6,51M","0,16%"
