"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","9,736","9,862","9,881","9,676","","-2,29%"
"23.05.2023","9,964","9,847","9,968","9,770","7,42M","1,00%"
"22.05.2023","9,865","9,733","9,919","9,723","7,36M","0,87%"
"19.05.2023","9,780","9,773","9,888","9,744","10,83M","0,20%"
"18.05.2023","9,760","9,616","9,845","9,552","11,10M","0,71%"
"17.05.2023","9,691","9,520","9,694","9,398","10,78M","0,87%"
"16.05.2023","9,607","9,670","9,796","9,579","8,16M","-1,18%"
"15.05.2023","9,722","9,705","9,750","9,625","5,39M","1,10%"
"12.05.2023","9,616","9,660","9,699","9,570","7,20M","0,29%"
"11.05.2023","9,588","9,717","9,786","9,530","8,10M","-1,32%"
"10.05.2023","9,716","9,700","9,872","9,682","8,02M","0,47%"
"09.05.2023","9,671","9,684","9,716","9,562","5,51M","-0,03%"
"08.05.2023","9,674","9,637","9,711","9,606","5,63M","0,09%"
"05.05.2023","9,665","9,360","9,685","9,360","9,58M","4,52%"
"04.05.2023","9,247","9,600","9,644","9,134","12,75M","-3,32%"
"03.05.2023","9,565","9,733","9,734","9,518","7,46M","-0,71%"
"02.05.2023","9,633","9,967","10,064","9,612","11,16M","-3,12%"
"28.04.2023","9,943","9,939","9,995","9,676","14,26M","1,52%"
"27.04.2023","9,794","9,698","9,903","9,233","16,34M","2,47%"
"26.04.2023","9,558","9,490","9,601","9,217","11,97M","0,42%"
"25.04.2023","9,518","9,794","9,827","9,501","12,95M","-3,83%"
"24.04.2023","9,897","9,848","9,998","9,822","7,67M","0,02%"
"21.04.2023","9,895","9,854","9,944","9,802","8,88M","-0,18%"
"20.04.2023","9,913","10,054","10,218","9,867","11,81M","-0,93%"
"19.04.2023","10,006","9,869","10,020","9,810","7,58M","0,93%"
"18.04.2023","9,914","9,880","10,028","9,848","11,20M","1,86%"
"17.04.2023","9,733","10,000","10,008","9,681","11,37M","-2,22%"
"14.04.2023","9,954","9,579","9,982","9,508","17,13M","4,57%"
"13.04.2023","9,519","9,550","9,606","9,476","6,20M","-0,80%"
"12.04.2023","9,596","9,620","9,732","9,570","7,40M","0,32%"
