"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","26.846,6","26.904,0","27.016,1","26.781,9","5,84K","-1,36%"
"23.05.2023","27.217,0","27.296,0","27.389,5","27.176,0","23,05K","-0,37%"
"22.05.2023","27.318,0","27.183,0","27.342,1","27.068,0","9,85K","0,84%"
"19.05.2023","27.090,0","27.329,0","27.368,6","27.090,0","12,68K","-0,21%"
"18.05.2023","27.147,0","26.677,0","27.160,0","26.675,0","15,25K","2,64%"
"17.05.2023","26.448,0","26.410,9","26.488,0","26.377,0","25,85K","0,18%"
"16.05.2023","26.401,0","26.240,0","26.421,0","26.153,0","8,62K","0,98%"
"15.05.2023","26.144,5","26.249,0","26.277,4","26.010,0","9,50K","0,00%"
"12.05.2023","26.143,5","26.223,0","26.268,0","26.107,3","5,24K","-0,04%"
"11.05.2023","26.153,5","25.965,0","26.160,0","25.915,0","8,36K","1,29%"
"10.05.2023","25.820,0","25.612,5","25.856,0","25.497,9","10,79K","0,77%"
"09.05.2023","25.623,5","25.696,0","25.744,0","25.617,0","8,80K","0,19%"
"05.05.2023","25.574,5","25.267,0","25.627,4","25.253,0","11,36K","1,04%"
"04.05.2023","25.312,0","25.447,0","25.500,0","25.142,0","8,09K","-1,00%"
"03.05.2023","25.568,0","25.666,0","25.745,0","25.568,0","9,42K","-0,41%"
"02.05.2023","25.672,0","25.943,0","26.007,0","25.608,0","9,67K","0,42%"
"28.04.2023","25.565,0","25.748,0","25.786,0","25.514,0","9,56K","-0,04%"
"27.04.2023","25.574,0","25.314,3","25.595,0","25.313,0","15,73K","1,15%"
"26.04.2023","25.282,0","25.347,0","25.371,0","25.116,7","4,31K","-0,35%"
"25.04.2023","25.371,5","25.365,0","25.470,9","25.264,4","4,68K","0,02%"
"24.04.2023","25.366,0","25.472,7","25.645,0","25.362,0","14,98K","-0,93%"
"21.04.2023","25.603,0","25.610,0","25.648,0","25.505,1","15,96K","0,10%"
"20.04.2023","25.577,0","25.657,0","25.657,0","25.447,0","15,97K","-0,30%"
"19.04.2023","25.653,0","25.591,0","25.665,0","25.526,0","11,43K","-0,48%"
"18.04.2023","25.778,0","25.805,0","25.964,0","25.695,0","12,16K","0,11%"
"17.04.2023","25.750,0","25.813,0","25.882,0","25.731,5","9,17K","0,33%"
"14.04.2023","25.664,5","25.531,0","25.822,0","25.473,0","14,35K","0,86%"
"13.04.2023","25.445,0","25.289,0","25.477,0","25.157,0","27,51K","0,34%"
"12.04.2023","25.358,0","25.486,8","25.791,0","25.288,0","25,23K","-0,80%"
"11.04.2023","25.562,0","25.723,0","25.759,6","25.484,0","17,17K","0,24%"
"06.04.2023","25.501,0","25.409,7","25.513,0","25.300,0","18,38K","0,52%"
"05.04.2023","25.368,0","25.685,0","25.712,0","25.365,0","18,57K","-1,20%"
"04.04.2023","25.675,0","25.864,0","25.888,6","25.610,0","11,63K","-0,52%"
"03.04.2023","25.810,0","26.070,0","26.077,0","25.746,0","36,10K","-0,12%"
"31.03.2023","25.840,0","25.602,0","25.852,0","25.585,0","10,16K","0,85%"
"30.03.2023","25.621,0","25.524,0","25.658,2","25.473,2","18,66K","0,98%"
"29.03.2023","25.372,0","25.208,9","25.424,0","25.178,9","19,54K","1,73%"
"28.03.2023","24.940,0","25.271,0","25.271,0","24.877,3","10,21K","-1,51%"
"27.03.2023","25.323,0","25.585,0","25.630,0","25.323,0","17,53K","-0,06%"
"24.03.2023","25.338,0","25.468,0","25.486,0","25.252,0","21,88K","-0,67%"
"23.03.2023","25.510,0","25.190,0","25.606,1","25.165,0","23,13K","0,00%"
"22.03.2023","25.509,0","25.344,0","25.625,6","25.271,0","12,33K","0,66%"
