"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","9,217","9,400","9,401","9,149","","-2,88%"
"23.05.2023","9,490","9,651","9,685","9,370","4,29M","-2,29%"
"22.05.2023","9,712","9,619","9,771","9,619","2,70M","1,25%"
"19.05.2023","9,592","9,785","9,932","9,592","4,97M","-1,74%"
"18.05.2023","9,762","9,675","9,865","9,646","3,37M","1,66%"
"17.05.2023","9,603","9,272","9,642","9,238","4,47M","3,09%"
"16.05.2023","9,315","9,157","9,315","9,153","3,21M","1,56%"
"15.05.2023","9,172","9,214","9,228","9,104","1,72M","0,15%"
"12.05.2023","9,158","9,158","9,226","9,115","1,32M","0,18%"
"11.05.2023","9,142","9,300","9,317","9,079","2,66M","-0,67%"
"10.05.2023","9,204","9,323","9,360","9,204","3,93M","-1,00%"
"09.05.2023","9,297","9,200","9,312","9,147","3,25M","1,32%"
"08.05.2023","9,176","9,282","9,324","9,156","2,79M","-0,25%"
"05.05.2023","9,199","9,231","9,363","9,091","5,79M","-0,02%"
"04.05.2023","9,201","9,559","9,559","9,153","5,79M","-3,40%"
"03.05.2023","9,525","9,500","9,571","9,025","8,36M","-1,32%"
"02.05.2023","9,652","9,730","9,892","9,588","4,87M","-0,80%"
"28.04.2023","9,730","9,584","9,744","9,489","3,54M","1,66%"
"27.04.2023","9,571","9,481","9,782","9,434","3,87M","0,86%"
"26.04.2023","9,489","9,661","9,661","9,359","3,39M","-2,02%"
"25.04.2023","9,685","9,735","9,750","9,557","2,96M","-1,07%"
"24.04.2023","9,790","9,803","9,876","9,754","2,78M","0,50%"
"21.04.2023","9,741","9,810","9,816","9,603","2,71M","-1,00%"
"20.04.2023","9,839","9,850","9,914","9,787","3,20M","0,25%"
"19.04.2023","9,814","9,928","9,976","9,706","4,06M","0,96%"
"18.04.2023","9,721","9,701","9,790","9,680","3,26M","0,80%"
"17.04.2023","9,644","9,564","9,664","9,529","2,82M","1,41%"
"14.04.2023","9,510","9,560","9,589","9,331","4,36M","-0,46%"
"13.04.2023","9,554","9,583","9,818","9,450","4,87M","-0,13%"
"12.04.2023","9,566","10,094","10,094","9,505","7,75M","-5,16%"
"11.04.2023","10,086","10,326","10,402","10,036","3,53M","-1,83%"
"06.04.2023","10,274","10,212","10,304","10,144","2,78M","1,10%"
"05.04.2023","10,162","10,300","10,406","10,104","3,45M","-1,57%"
"04.04.2023","10,324","10,240","10,486","10,182","3,87M","1,24%"
"03.04.2023","10,198","10,216","10,312","10,126","3,24M","-0,60%"
"31.03.2023","10,260","10,192","10,326","10,108","5,98M","3,12%"
"30.03.2023","9,950","9,777","9,983","9,769","5,46M","3,14%"
"29.03.2023","9,647","9,533","9,647","9,465","2,67M","2,18%"
"28.03.2023","9,441","9,651","9,651","9,417","3,48M","-0,51%"
"27.03.2023","9,489","9,480","9,547","9,374","3,60M","1,30%"
"24.03.2023","9,367","9,786","9,786","9,300","7,10M","-4,84%"
"23.03.2023","9,843","9,858","9,942","9,741","4,02M","-0,35%"
"22.03.2023","9,878","9,930","9,990","9,823","2,73M","-0,51%"
"21.03.2023","9,929","9,810","10,038","9,785","5,27M","2,10%"
