"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","132,00","142,11","142,79","130,34","3,78M","-4,17%"
"23.05.2023","137,75","126,49","139,91","125,60","7,66M","8,69%"
"22.05.2023","126,74","126,25","127,83","125,69","1,67M","0,40%"
"19.05.2023","126,24","126,18","126,88","124,58","2,60M","0,73%"
"18.05.2023","125,33","125,92","126,01","122,99","2,99M","-0,19%"
"17.05.2023","125,57","124,25","126,99","122,56","2,57M","0,37%"
"16.05.2023","125,11","129,37","129,50","124,25","3,69M","-3,95%"
"15.05.2023","130,26","128,70","130,75","126,50","2,28M","0,74%"
"12.05.2023","129,30","128,50","131,06","128,05","1,90M","0,69%"
"11.05.2023","128,41","130,97","131,40","126,55","2,87M","-1,85%"
"10.05.2023","130,83","134,56","135,33","130,37","2,84M","-2,20%"
"09.05.2023","133,77","131,48","133,88","130,91","2,56M","1,53%"
"08.05.2023","131,75","136,24","137,13","131,20","3,95M","-3,86%"
"05.05.2023","137,04","134,65","138,10","132,20","3,38M","2,02%"
"04.05.2023","134,33","133,93","138,22","129,75","5,44M","3,22%"
"03.05.2023","130,14","130,52","132,88","129,85","3,27M","-0,96%"
"02.05.2023","131,40","133,51","135,56","130,54","3,25M","-1,50%"
"01.05.2023","133,40","132,00","134,53","130,71","2,75M","0,38%"
"28.04.2023","132,89","130,04","133,26","129,02","2,97M","2,17%"
"27.04.2023","130,07","130,89","132,27","129,65","3,06M","-0,50%"
"26.04.2023","130,72","134,81","135,97","129,88","3,52M","-3,10%"
"25.04.2023","134,90","138,13","139,62","134,70","3,25M","-2,35%"
"24.04.2023","138,14","140,87","141,20","136,05","3,51M","-1,92%"
"21.04.2023","140,85","141,00","142,82","138,59","3,13M","-0,21%"
"20.04.2023","141,14","141,40","144,43","140,44","3,14M","-1,18%"
"19.04.2023","142,82","141,57","144,06","141,25","2,66M","0,13%"
"18.04.2023","142,63","144,00","144,93","141,01","4,40M","-0,93%"
"17.04.2023","143,97","156,60","156,75","143,21","11,49M","-8,36%"
"14.04.2023","157,10","159,95","163,24","155,35","2,66M","-2,14%"
"13.04.2023","160,53","156,61","162,10","155,32","2,87M","3,19%"
"12.04.2023","155,56","156,35","159,05","154,62","2,96M","0,20%"
"11.04.2023","155,25","152,43","156,78","149,32","6,49M","-3,06%"
"10.04.2023","160,15","160,00","161,19","154,45","2,72M","1,19%"
"06.04.2023","158,27","155,00","159,07","153,49","2,62M","2,37%"
"05.04.2023","154,61","155,79","156,87","152,25","2,24M","-1,22%"
"04.04.2023","156,52","159,21","159,68","156,03","2,30M","-1,86%"
"03.04.2023","159,48","153,50","159,99","153,50","3,94M","3,84%"
"31.03.2023","153,58","147,93","154,90","147,93","3,78M","4,16%"
"30.03.2023","147,44","150,20","151,25","146,60","2,20M","-0,91%"
"29.03.2023","148,80","149,00","150,09","147,55","1,90M","1,28%"
"28.03.2023","146,92","147,98","149,66","146,18","1,99M","-0,96%"
"27.03.2023","148,35","149,80","150,38","145,36","2,62M","-1,68%"
"24.03.2023","150,88","149,74","152,57","148,97","1,99M","0,98%"
"23.03.2023","149,42","149,92","153,76","146,90","2,69M","0,84%"
"22.03.2023","148,18","153,31","153,68","148,07","2,81M","-2,58%"
"21.03.2023","152,10","154,54","155,70","151,82","2,99M","-1,57%"
"20.03.2023","154,52","150,01","156,57","148,66","3,24M","3,00%"
"17.03.2023","150,02","151,92","154,48","149,10","6,00M","-1,16%"
"16.03.2023","151,78","149,67","152,85","147,97","2,66M","1,46%"
"15.03.2023","149,60","148,88","151,19","147,61","2,71M","-1,11%"
"14.03.2023","151,28","148,98","154,88","148,05","3,91M","2,29%"
"13.03.2023","147,90","138,49","148,94","138,06","5,68M","6,95%"
"10.03.2023","138,29","137,06","141,55","135,59","3,89M","0,68%"
"09.03.2023","137,36","142,04","144,03","136,52","3,06M","-3,32%"
"08.03.2023","142,08","140,32","142,53","140,32","2,19M","0,73%"
"07.03.2023","141,05","143,78","145,74","139,68","2,78M","-2,07%"
"06.03.2023","144,03","143,30","145,06","142,63","2,87M","0,58%"
"03.03.2023","143,20","138,99","144,83","138,32","3,96M","3,87%"
"02.03.2023","137,86","135,36","139,03","135,34","3,27M","1,62%"
