"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","7,78","8,12","8,21","7,72","58,11M","-11,09%"
"23.05.2023","8,75","8,64","8,85","8,59","38,35M","-0,46%"
"22.05.2023","8,79","8,25","8,85","8,24","73,15M","8,92%"
"19.05.2023","8,07","7,90","8,14","7,84","41,57M","3,20%"
"18.05.2023","7,82","7,94","8,03","7,73","46,05M","-2,62%"
"17.05.2023","8,03","7,82","8,05","7,79","33,41M","1,52%"
"16.05.2023","7,91","8,10","8,10","7,82","33,82M","-4,12%"
"15.05.2023","8,25","8,06","8,28","7,90","35,60M","3,77%"
"12.05.2023","7,95","8,27","8,34","7,94","42,11M","-5,92%"
"11.05.2023","8,45","8,15","8,45","8,09","48,36M","3,94%"
"10.05.2023","8,13","8,20","8,52","8,04","47,37M","-0,37%"
"09.05.2023","8,16","7,93","8,22","7,85","24,85M","-1,33%"
"08.05.2023","8,27","8,27","8,54","8,03","30,62M","1,47%"
"05.05.2023","8,15","8,14","8,37","8,10","34,42M","1,12%"
"04.05.2023","8,06","7,75","8,12","7,75","50,35M","5,50%"
"03.05.2023","7,64","7,43","7,77","7,40","39,42M","2,55%"
"02.05.2023","7,45","7,65","7,75","7,33","53,99M","-4,61%"
"01.05.2023","7,81","7,83","7,86","7,55","39,62M","-0,76%"
"28.04.2023","7,87","7,88","8,01","7,66","38,62M","-1,25%"
"27.04.2023","7,97","7,70","7,97","7,61","36,59M","3,78%"
"26.04.2023","7,68","8,09","8,20","7,65","55,54M","-2,78%"
"25.04.2023","7,90","8,16","8,16","7,60","88,14M","-4,70%"
"24.04.2023","8,29","8,38","8,40","8,16","29,65M","-0,48%"
"21.04.2023","8,33","8,26","8,38","8,05","34,19M","0,60%"
"20.04.2023","8,28","8,54","8,58","8,16","59,24M","-5,80%"
"19.04.2023","8,79","9,16","9,20","8,77","60,04M","-7,18%"
"18.04.2023","9,47","9,78","9,81","9,44","25,17M","-3,66%"
"17.04.2023","9,83","9,54","10,02","9,51","48,35M","6,04%"
"14.04.2023","9,27","9,07","9,45","9,00","30,77M","1,87%"
"13.04.2023","9,10","9,21","9,28","9,02","24,85M","1,00%"
"12.04.2023","9,01","9,56","9,56","8,96","48,11M","-5,36%"
"11.04.2023","9,52","9,19","9,78","9,18","44,37M","5,19%"
"10.04.2023","9,05","8,86","9,08","8,78","25,90M","0,44%"
"06.04.2023","9,01","8,94","9,07","8,83","23,02M","0,56%"
"05.04.2023","8,96","9,19","9,19","8,75","33,58M","-2,71%"
"04.04.2023","9,21","9,61","9,79","9,12","51,90M","-6,02%"
"03.04.2023","9,80","10,41","10,51","9,67","56,23M","-6,76%"
"31.03.2023","10,51","10,31","10,60","10,20","35,63M","0,48%"
"30.03.2023","10,46","10,00","10,75","9,94","65,72M","6,41%"
"29.03.2023","9,83","9,30","9,95","9,26","56,38M","6,85%"
"28.03.2023","9,20","9,15","9,27","9,03","31,21M","3,02%"
"27.03.2023","8,93","9,03","9,13","8,84","20,34M","-1,54%"
"24.03.2023","9,07","9,22","9,23","8,83","28,72M","-2,16%"
"23.03.2023","9,27","9,35","9,45","9,13","30,03M","1,98%"
"22.03.2023","9,09","9,50","9,53","9,06","36,37M","-1,94%"
"21.03.2023","9,27","8,96","9,37","8,91","52,06M","5,94%"
"20.03.2023","8,75","8,10","9,06","8,06","55,89M","5,93%"
"17.03.2023","8,26","8,54","8,74","8,18","38,37M","-2,82%"
"16.03.2023","8,50","8,13","8,54","8,10","27,47M","3,03%"
"15.03.2023","8,25","8,21","8,32","8,07","39,90M","-2,02%"
"14.03.2023","8,42","8,51","8,56","8,35","36,48M","-1,52%"
"13.03.2023","8,55","8,35","8,69","8,03","43,88M","0,47%"
"10.03.2023","8,51","8,78","8,81","8,33","46,63M","-3,19%"
"09.03.2023","8,79","9,01","9,17","8,72","48,54M","-4,25%"
"08.03.2023","9,18","8,86","9,18","8,67","39,71M","2,34%"
"07.03.2023","8,97","9,19","9,26","8,87","45,08M","-3,65%"
"06.03.2023","9,31","9,50","9,64","9,30","35,31M","-2,72%"
"03.03.2023","9,57","8,97","9,70","8,92","60,21M","5,28%"
"02.03.2023","9,09","8,50","9,12","8,31","72,98M","2,94%"
"01.03.2023","8,83","9,34","9,45","8,77","81,13M","-5,96%"
"28.02.2023","9,39","9,20","9,44","9,12","53,31M","0,64%"
"27.02.2023","9,33","9,53","9,59","9,24","42,36M","0,32%"
"24.02.2023","9,30","9,51","9,52","9,13","56,81M","-5,01%"
"23.02.2023","9,79","10,39","10,40","9,58","50,26M","-3,83%"
"22.02.2023","10,18","10,01","10,21","9,90","34,10M","1,50%"
"21.02.2023","10,03","10,05","10,31","9,96","35,05M","-1,57%"
"17.02.2023","10,19","10,10","10,24","9,93","37,47M","0,00%"
"16.02.2023","10,19","10,46","10,60","10,19","38,21M","-2,95%"
"15.02.2023","10,50","10,09","10,50","10,09","35,31M","1,84%"
"14.02.2023","10,31","10,19","10,35","9,91","38,03M","0,00%"
"13.02.2023","10,31","10,47","10,54","10,28","30,52M","0,00%"
"10.02.2023","10,31","10,25","10,39","10,02","38,38M","-1,53%"
"09.02.2023","10,47","10,97","11,02","10,37","40,17M","-1,69%"
"08.02.2023","10,65","10,75","10,91","10,58","28,12M","-2,47%"
"07.02.2023","10,92","11,00","11,02","10,56","35,06M","-0,09%"
"06.02.2023","10,93","10,95","11,03","10,67","45,19M","-2,32%"
"03.02.2023","11,19","11,66","11,90","11,16","55,80M","-6,44%"
"02.02.2023","11,96","12,12","12,37","11,81","67,93M","-1,16%"
"01.02.2023","12,10","12,24","12,32","11,59","64,66M","0,25%"
"31.01.2023","12,07","11,91","12,35","11,76","45,86M","0,42%"
"30.01.2023","12,02","12,43","12,44","11,85","54,62M","-5,43%"
"27.01.2023","12,71","12,15","13,22","11,98","69,73M","4,44%"
