"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","2,751","2,757","2,774","2,748","1,23M","-0,47%"
"23.05.2023","2,764","2,766","2,788","2,746","2,30M","-0,07%"
"22.05.2023","2,766","2,755","2,823","2,740","2,72M","0,33%"
"19.05.2023","2,757","2,742","2,770","2,704","3,45M","-1,11%"
"18.05.2023","2,788","2,803","2,810","2,775","2,28M","-6,06%"
"17.05.2023","2,968","3,046","3,053","2,939","4,57M","-2,94%"
"16.05.2023","3,058","3,082","3,082","3,032","2,47M","-1,04%"
"15.05.2023","3,090","3,097","3,110","3,071","1,87M","0,06%"
"12.05.2023","3,088","3,096","3,103","3,011","3,87M","0,36%"
"11.05.2023","3,077","3,016","3,091","2,967","4,93M","3,22%"
"10.05.2023","2,981","3,050","3,052","2,886","6,39M","-4,58%"
"09.05.2023","3,124","3,114","3,140","3,107","2,82M","0,55%"
"08.05.2023","3,107","3,138","3,140","3,101","1,53M","-0,54%"
"05.05.2023","3,124","3,139","3,140","3,066","2,31M","-0,10%"
"04.05.2023","3,127","3,100","3,152","3,091","4,02M","0,45%"
"03.05.2023","3,113","3,080","3,122","3,029","5,57M","1,63%"
"02.05.2023","3,063","3,065","3,085","3,051","2,92M","-0,07%"
"28.04.2023","3,065","3,089","3,090","3,025","2,94M","-0,58%"
"27.04.2023","3,083","3,049","3,089","3,028","2,61M","1,58%"
"26.04.2023","3,035","3,001","3,053","2,995","2,84M","0,80%"
"25.04.2023","3,011","3,015","3,026","3,000","1,60M","-0,33%"
"24.04.2023","3,021","3,026","3,028","2,994","2,04M","-0,20%"
"21.04.2023","3,027","3,013","3,032","3,010","1,93M","0,46%"
"20.04.2023","3,013","3,024","3,025","2,999","1,31M","-0,30%"
"19.04.2023","3,022","3,000","3,038","3,000","1,84M","0,37%"
"18.04.2023","3,011","3,000","3,013","2,988","3,02M","0,77%"
"17.04.2023","2,988","2,945","2,992","2,937","2,48M","1,29%"
"14.04.2023","2,950","2,958","2,972","2,942","2,21M","0,10%"
"13.04.2023","2,947","2,946","2,960","2,936","2,58M","-0,07%"
"12.04.2023","2,949","2,924","2,968","2,915","2,90M","0,99%"
"11.04.2023","2,920","2,931","2,932","2,895","2,82M","0,10%"
"06.04.2023","2,917","2,846","2,917","2,840","2,20M","2,89%"
"05.04.2023","2,835","2,798","2,840","2,798","2,72M","1,47%"
"04.04.2023","2,794","2,837","2,849","2,794","3,44M","-1,31%"
"03.04.2023","2,831","2,850","2,850","2,810","2,35M","-0,21%"
"31.03.2023","2,837","2,836","2,870","2,835","2,63M","0,50%"
"30.03.2023","2,823","2,772","2,837","2,771","2,32M","-0,60%"
"29.03.2023","2,840","2,804","2,845","2,792","2,20M","1,83%"
"28.03.2023","2,789","2,850","2,891","2,788","3,14M","-2,92%"
"27.03.2023","2,873","2,845","2,875","2,845","2,14M","1,45%"
"24.03.2023","2,832","2,869","2,885","2,818","3,54M","-2,28%"
"23.03.2023","2,898","2,897","2,913","2,889","2,08M","0,21%"
"22.03.2023","2,892","2,950","2,950","2,878","3,59M","-1,83%"
"21.03.2023","2,946","2,922","2,967","2,903","2,97M","1,03%"
"20.03.2023","2,916","2,883","2,918","2,838","2,94M","1,50%"
"17.03.2023","2,873","2,910","2,929","2,867","8,57M","-1,27%"
"16.03.2023","2,910","2,905","2,924","2,877","3,62M","1,39%"
"15.03.2023","2,870","2,893","2,915","2,842","4,21M","-0,55%"
"14.03.2023","2,886","2,860","2,897","2,845","2,24M","0,66%"
"13.03.2023","2,867","2,917","2,925","2,839","2,70M","-1,31%"
"10.03.2023","2,905","2,864","2,911","2,823","2,42M","0,21%"
"09.03.2023","2,899","2,942","2,942","2,872","2,42M","-0,99%"
"08.03.2023","2,928","2,918","2,940","2,915","2,37M","0,27%"
"07.03.2023","2,920","2,939","2,951","2,918","4,03M","-1,28%"
"06.03.2023","2,958","2,921","2,958","2,910","3,25M","1,13%"
"03.03.2023","2,925","2,910","2,931","2,886","2,15M","0,97%"
"02.03.2023","2,897","2,899","2,924","2,878","2,38M","-0,62%"
"01.03.2023","2,915","2,877","2,945","2,867","2,43M","1,53%"
"28.02.2023","2,871","2,907","2,917","2,863","4,50M","-1,37%"
"27.02.2023","2,911","2,899","2,913","2,877","2,67M","0,83%"
"24.02.2023","2,887","2,872","2,905","2,872","3,72M","0,77%"
"23.02.2023","2,865","2,882","2,932","2,848","3,52M","-0,62%"
"22.02.2023","2,883","2,860","2,890","2,760","3,98M","-1,10%"
"21.02.2023","2,915","2,855","2,919","2,855","3,49M","2,21%"
"20.02.2023","2,852","2,838","2,865","2,819","1,48M","0,74%"
"17.02.2023","2,831","2,803","2,840","2,783","1,92M","0,75%"
"16.02.2023","2,810","2,802","2,829","2,798","1,76M","0,61%"
"15.02.2023","2,793","2,780","2,814","2,774","2,21M","0,72%"
"14.02.2023","2,773","2,742","2,795","2,742","1,99M","1,13%"
"13.02.2023","2,742","2,730","2,742","2,715","1,58M","0,40%"
"10.02.2023","2,731","2,697","2,734","2,671","3,54M","1,19%"
"09.02.2023","2,699","2,706","2,718","2,679","2,62M","-0,18%"
"08.02.2023","2,704","2,664","2,708","2,664","2,71M","1,88%"
"07.02.2023","2,654","2,644","2,654","2,626","1,48M","0,19%"
"06.02.2023","2,649","2,651","2,661","2,638","1,26M","0,57%"
"03.02.2023","2,634","2,676","2,712","2,634","4,11M","-1,97%"
"02.02.2023","2,687","2,690","2,717","2,665","2,23M","0,07%"
"01.02.2023","2,685","2,695","2,703","2,655","2,20M","-0,70%"
"31.01.2023","2,704","2,681","2,706","2,670","3,14M","0,93%"
"30.01.2023","2,679","2,650","2,682","2,630","2,78M","0,79%"
"27.01.2023","2,658","2,619","2,659","2,613","2,76M","1,68%"
"26.01.2023","2,614","2,607","2,631","2,585","3,09M","0,58%"
"25.01.2023","2,599","2,582","2,605","2,552","1,92M","0,78%"
"24.01.2023","2,579","2,580","2,596","2,551","2,76M","-0,08%"
"23.01.2023","2,581","2,580","2,600","2,558","1,50M","0,19%"
"20.01.2023","2,576","2,531","2,581","2,528","1,65M","2,10%"
"19.01.2023","2,523","2,519","2,538","2,501","2,45M","-0,39%"
"18.01.2023","2,533","2,595","2,598","2,533","3,70M","-2,24%"
"17.01.2023","2,591","2,603","2,606","2,532","3,67M","-0,23%"
"16.01.2023","2,597","2,598","2,613","2,578","1,36M","0,15%"
"13.01.2023","2,593","2,594","2,629","2,585","2,12M","-0,04%"
"12.01.2023","2,594","2,548","2,617","2,548","3,98M","2,13%"
"11.01.2023","2,540","2,565","2,568","2,523","1,83M","-0,82%"
"10.01.2023","2,561","2,531","2,562","2,502","3,66M","1,23%"
"09.01.2023","2,530","2,503","2,535","2,459","3,24M","0,80%"
"06.01.2023","2,510","2,502","2,532","2,498","2,14M","0,48%"
"05.01.2023","2,498","2,448","2,510","2,439","4,39M","1,92%"
"04.01.2023","2,451","2,360","2,459","2,351","4,30M","3,72%"
"03.01.2023","2,363","2,337","2,374","2,320","3,95M","1,11%"
"02.01.2023","2,337","2,326","2,364","2,313","2,55M","1,48%"
"30.12.2022","2,303","2,320","2,321","2,296","1,06M","-1,07%"
"29.12.2022","2,328","2,300","2,328","2,289","1,63M","1,09%"
"28.12.2022","2,303","2,300","2,312","2,293","1,83M","0,22%"
"27.12.2022","2,298","2,304","2,308","2,289","895,89K","0,00%"
"23.12.2022","2,298","2,279","2,304","2,277","2,13M","1,06%"
"22.12.2022","2,274","2,310","2,312","2,271","2,18M","-1,47%"
"21.12.2022","2,308","2,273","2,315","2,262","4,17M","2,21%"
"20.12.2022","2,258","2,275","2,308","2,258","2,25M","-1,27%"
"19.12.2022","2,287","2,240","2,302","2,216","4,26M","2,33%"
"16.12.2022","2,235","2,245","2,257","2,206","10,09M","-0,49%"
