"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","54,04","54,90","54,90","54,04","0,39K","-2,77%"
"23.05.2023","55,58","54,96","55,60","54,90","2,25K","1,61%"
"22.05.2023","54,70","53,72","54,72","53,72","1,90K","1,30%"
"19.05.2023","54,00","53,50","54,38","53,50","1,55K","1,52%"
"18.05.2023","53,19","51,82","53,19","51,80","0,60K","4,29%"
"17.05.2023","51,00","51,00","51,00","51,00","","-0,62%"
"16.05.2023","51,32","51,74","51,74","51,32","0,11K","-2,06%"
"15.05.2023","52,40","52,40","52,46","52,18","0,12K","-0,38%"
"12.05.2023","52,60","51,92","52,66","51,90","1,23K","0,54%"
"11.05.2023","52,32","51,70","52,62","51,70","1,27K","2,31%"
"10.05.2023","51,14","51,36","51,42","51,14","0,18K","-0,27%"
"09.05.2023","51,28","51,48","51,48","51,19","1,78K","-0,47%"
"08.05.2023","51,52","51,08","51,70","50,92","2,56K","1,02%"
"05.05.2023","51,00","50,90","51,00","50,90","0,06K","2,12%"
"04.05.2023","49,94","49,99","49,99","49,94","0,45K","0,20%"
"03.05.2023","49,84","49,40","49,84","49,35","0,10K","0,61%"
"02.05.2023","49,54","50,48","50,58","49,54","0,47K","-1,94%"
"28.04.2023","50,52","50,30","50,52","48,39","2,95K","1,34%"
"27.04.2023","49,85","49,90","50,00","49,85","0,34K","-0,34%"
"26.04.2023","50,02","50,00","50,02","49,60","1,29K","-0,20%"
"25.04.2023","50,12","50,42","50,50","49,92","2,03K","-1,34%"
"24.04.2023","50,80","51,40","51,40","50,80","0,23K","0,08%"
"21.04.2023","50,76","50,38","50,76","50,34","0,21K","0,75%"
"20.04.2023","50,38","51,56","51,56","50,06","1,85K","-3,85%"
"19.04.2023","52,40","51,96","52,42","51,74","6,64K","0,19%"
"18.04.2023","52,30","52,66","52,78","52,24","0,94K","-0,61%"
"17.04.2023","52,62","53,16","53,16","52,58","0,28K","-2,01%"
"14.04.2023","53,70","53,26","53,74","53,14","0,20K","2,72%"
"13.04.2023","52,28","52,80","52,80","52,28","0,05K","-0,87%"
"12.04.2023","52,74","53,04","53,48","52,66","3,37K","-0,45%"
"11.04.2023","52,98","53,00","53,22","52,76","1,62K","1,30%"
"06.04.2023","52,30","52,08","52,36","51,68","3,23K","0,89%"
"05.04.2023","51,84","52,60","52,60","51,84","1,04K","-1,71%"
"04.04.2023","52,74","52,98","53,50","52,74","0,93K","-0,26%"
"03.04.2023","52,88","53,04","53,24","52,82","0,90K","-0,08%"
"31.03.2023","52,92","52,84","53,08","52,68","0,44K","-0,64%"
"30.03.2023","53,26","53,12","53,32","53,04","1,28K","2,09%"
"29.03.2023","52,17","51,52","52,32","51,08","2,37K","1,30%"
"28.03.2023","51,50","53,06","53,06","51,48","0,89K","-1,08%"
"27.03.2023","52,06","51,52","52,78","51,36","3,48K","2,20%"
"24.03.2023","50,94","51,86","51,86","50,52","1,26K","-2,19%"
"23.03.2023","52,08","53,02","53,06","51,56","2,74K","-1,10%"
"22.03.2023","52,66","52,48","53,46","52,48","2,57K","0,65%"
"21.03.2023","52,32","51,14","52,32","51,14","0,73K","3,20%"
