"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","1,550","1,400","1,550","1,400","48,68K","4,73%"
"23.05.2023","1,480","1,430","1,570","1,420","141,69K","3,14%"
"22.05.2023","1,435","1,450","1,500","1,360","110,95K","1,06%"
"19.05.2023","1,420","1,340","1,440","1,320","71,01K","6,77%"
"18.05.2023","1,330","1,370","1,400","1,300","156,54K","-3,62%"
"17.05.2023","1,380","1,350","1,500","1,320","261,96K","0,73%"
"16.05.2023","1,370","1,680","1,700","1,200","441,25K","-22,06%"
"15.05.2023","1,758","1,530","1,800","1,530","189,96K","11,25%"
"12.05.2023","1,580","1,680","1,710","1,460","277,14K","-14,13%"
"11.05.2023","1,840","1,930","1,951","1,740","239,73K","-5,15%"
"10.05.2023","1,940","2,010","2,160","1,900","154,11K","-3,96%"
"09.05.2023","2,020","2,230","2,248","1,891","243,83K","-6,91%"
"08.05.2023","2,170","1,880","2,280","1,860","683,66K","17,93%"
"05.05.2023","1,840","1,670","1,880","1,610","319,45K","15,72%"
"04.05.2023","1,590","1,500","1,640","1,440","145,25K","6,00%"
"03.05.2023","1,500","1,380","1,590","1,370","103,15K","6,38%"
"02.05.2023","1,410","1,440","1,450","1,360","76,00K","-1,40%"
"01.05.2023","1,430","1,380","1,460","1,380","121,10K","-0,69%"
"28.04.2023","1,440","1,410","1,480","1,400","88,28K","0,00%"
"27.04.2023","1,440","1,430","1,454","1,340","162,11K","5,11%"
"26.04.2023","1,370","1,370","1,420","1,346","79,57K","-2,84%"
"25.04.2023","1,410","1,380","1,430","1,330","73,13K","-0,70%"
"24.04.2023","1,420","1,350","1,440","1,320","59,91K","2,90%"
"21.04.2023","1,380","1,400","1,420","1,340","100,55K","-4,17%"
"20.04.2023","1,440","1,430","1,460","1,410","126,29K","-2,04%"
"19.04.2023","1,470","1,500","1,500","1,440","75,43K","-3,29%"
"18.04.2023","1,520","1,390","1,530","1,350","169,16K","7,04%"
