"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","397,93","399,69","400,32","397,00","17,37K","-1,44%"
"23.05.2023","403,76","403,63","404,87","402,69","18,69K","-0,15%"
"22.05.2023","404,37","403,00","404,76","401,88","15,29K","0,38%"
"19.05.2023","402,82","405,15","406,21","402,82","34,11K","-0,18%"
"18.05.2023","403,56","399,36","404,22","399,35","10,54K","1,79%"
"17.05.2023","396,47","394,18","397,00","394,18","17,45K","0,42%"
"16.05.2023","394,81","394,52","395,14","393,87","15,94K","0,01%"
"15.05.2023","394,78","395,83","396,55","392,91","23,54K","0,19%"
"12.05.2023","394,03","393,91","396,00","393,50","14,99K","0,21%"
"11.05.2023","393,20","394,73","395,31","391,48","18,91K","0,49%"
"10.05.2023","391,29","390,97","393,14","389,70","30,36K","-0,09%"
"09.05.2023","391,63","390,61","391,63","390,06","9,16K","0,47%"
"08.05.2023","389,79","388,89","390,50","388,87","20,72K","0,23%"
"05.05.2023","388,88","383,94","389,69","383,48","30,51K","1,38%"
"04.05.2023","383,57","384,58","385,77","381,49","23,50K","-1,02%"
"03.05.2023","387,54","389,01","389,43","386,83","19,29K","0,00%"
"02.05.2023","387,53","394,13","395,00","387,23","34,70K","-0,86%"
"28.04.2023","390,89","389,31","392,50","389,02","23,54K","1,13%"
"27.04.2023","386,51","383,29","386,52","382,83","26,49K","0,71%"
"26.04.2023","383,77","386,24","386,34","381,50","16,74K","-1,19%"
"25.04.2023","388,38","388,11","389,46","387,13","39,44K","-0,13%"
"24.04.2023","388,88","389,78","390,50","388,54","17,74K","-0,41%"
"21.04.2023","390,49","391,64","392,04","389,80","10,44K","-0,22%"
"20.04.2023","391,35","392,44","392,81","390,38","21,57K","-0,38%"
"19.04.2023","392,86","392,73","393,72","391,60","27,91K","-0,12%"
"18.04.2023","393,34","394,22","395,67","392,50","26,67K","0,02%"
"17.04.2023","393,26","392,06","394,08","391,57","18,72K","0,67%"
"14.04.2023","390,66","389,05","392,40","388,46","21,67K","0,92%"
"13.04.2023","387,09","387,97","388,07","384,99","68,40K","-0,41%"
"12.04.2023","388,69","390,61","392,50","387,72","18,05K","-0,63%"
"11.04.2023","391,14","392,66","392,76","390,50","12,92K","0,63%"
"06.04.2023","388,69","389,14","389,90","387,50","14,40K","0,03%"
"05.04.2023","388,56","389,13","389,42","387,60","24,71K","-0,08%"
"04.04.2023","388,89","392,85","394,30","388,15","15,76K","-0,70%"
"03.04.2023","391,64","393,75","393,75","391,14","88,18K","0,36%"
"31.03.2023","390,24","386,34","390,37","386,17","14,85K","1,23%"
"30.03.2023","385,50","386,52","387,06","384,53","29,06K","0,39%"
"29.03.2023","383,99","383,85","384,76","382,60","14,71K","0,92%"
"28.03.2023","380,50","383,35","383,65","379,61","20,79K","-0,74%"
"27.03.2023","383,35","385,11","385,70","382,80","28,52K","0,79%"
"24.03.2023","380,35","379,61","381,36","377,68","21,72K","0,04%"
"23.03.2023","380,18","377,85","381,81","376,86","39,81K","-1,14%"
"22.03.2023","384,55","384,86","386,42","384,40","12,39K","0,19%"
"21.03.2023","383,82","383,26","385,04","382,81","49,97K","0,78%"
"20.03.2023","380,86","379,38","383,11","377,44","35,37K","-0,25%"
"17.03.2023","381,82","386,10","387,19","380,76","19,67K","-0,68%"
"16.03.2023","384,43","381,72","385,88","378,34","28,04K","1,36%"
"15.03.2023","379,28","378,70","381,68","374,93","50,34K","-0,20%"
"14.03.2023","380,03","375,46","380,91","374,00","50,41K","1,48%"
"13.03.2023","374,48","378,83","379,12","369,23","74,45K","-2,16%"
"10.03.2023","382,76","382,21","384,80","377,12","65,12K","-2,33%"
"09.03.2023","391,91","392,01","393,82","390,82","17,21K","0,11%"
"08.03.2023","391,48","392,58","393,57","391,30","24,81K","-0,40%"
"07.03.2023","393,07","393,64","395,00","392,50","17,71K","-0,61%"
"06.03.2023","395,47","394,60","395,98","393,77","36,93K","0,64%"
"03.03.2023","392,95","388,85","393,07","388,38","17,53K","1,88%"
"02.03.2023","385,68","382,70","386,17","382,60","12,89K","0,40%"
"01.03.2023","384,13","387,88","388,10","383,00","42,91K","-1,28%"
"28.02.2023","389,13","388,65","390,69","387,48","25,34K","-0,33%"
"27.02.2023","390,40","391,37","393,06","390,40","25,80K","0,39%"
