"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","16,01","16,10","16,10","15,95","17,69M","-0,56%"
"23.05.2023","16,10","16,26","16,30","16,07","45,01M","-1,71%"
"22.05.2023","16,38","16,35","16,43","16,16","40,37M","0,43%"
"19.05.2023","16,31","16,59","16,65","16,29","46,68M","-1,45%"
"18.05.2023","16,55","16,60","16,65","16,37","38,87M","-0,66%"
"17.05.2023","16,66","16,66","16,75","16,55","34,16M","0,79%"
"16.05.2023","16,53","16,93","16,94","16,51","31,20M","-2,48%"
"15.05.2023","16,95","17,00","17,09","16,94","28,70M","-0,47%"
"12.05.2023","17,03","17,00","17,19","16,95","27,28M","0,41%"
"11.05.2023","16,96","16,95","17,00","16,88","21,33M","-0,47%"
"10.05.2023","17,04","17,06","17,10","16,86","32,89M","0,12%"
"09.05.2023","17,02","17,10","17,11","16,91","29,06M","-0,58%"
"08.05.2023","17,12","17,01","17,17","16,95","32,09M","-0,06%"
"05.05.2023","17,13","16,98","17,13","16,88","23,71M","1,30%"
"04.05.2023","16,91","17,02","17,08","16,85","27,42M","-1,05%"
"03.05.2023","17,09","17,15","17,25","17,07","32,21M","0,12%"
"02.05.2023","17,07","17,36","17,43","17,03","39,40M","-2,46%"
"01.05.2023","17,50","17,74","17,75","17,49","35,51M","-0,96%"
"28.04.2023","17,67","17,42","17,75","17,38","40,68M","0,34%"
"27.04.2023","17,61","17,38","17,63","17,36","36,93M","2,38%"
"26.04.2023","17,20","17,39","17,66","17,19","42,48M","-1,77%"
"25.04.2023","17,51","17,51","17,77","17,45","46,69M","-0,11%"
"24.04.2023","17,53","18,09","18,12","17,51","60,00M","-3,79%"
"21.04.2023","18,22","17,87","18,40","17,83","76,81M","3,23%"
"20.04.2023","17,65","18,71","18,72","17,56","129,91M","-10,41%"
"19.04.2023","19,70","19,78","19,83","19,61","31,54M","-0,61%"
"18.04.2023","19,82","19,83","19,87","19,65","28,52M","0,15%"
"17.04.2023","19,79","19,90","19,92","19,65","23,44M","-0,70%"
"14.04.2023","19,93","19,95","19,99","19,77","24,95M","-0,15%"
"13.04.2023","19,96","19,85","19,98","19,66","25,25M","0,96%"
"12.04.2023","19,77","19,79","19,88","19,65","28,18M","0,41%"
"11.04.2023","19,69","19,59","19,91","19,58","24,67M","0,61%"
"10.04.2023","19,57","19,47","19,60","19,42","23,62M","-0,41%"
"06.04.2023","19,65","19,65","19,79","19,51","29,72M","-1,16%"
"05.04.2023","19,88","19,62","19,93","19,58","38,67M","1,22%"
"04.04.2023","19,64","19,52","19,65","19,39","34,21M","1,29%"
"03.04.2023","19,39","19,27","19,48","19,20","31,10M","0,73%"
"31.03.2023","19,25","19,12","19,25","19,03","27,13M","0,89%"
"30.03.2023","19,08","19,00","19,14","18,98","19,74M","0,42%"
"29.03.2023","19,00","18,86","19,05","18,83","23,15M","1,50%"
"28.03.2023","18,72","18,84","18,99","18,72","21,55M","-0,79%"
"27.03.2023","18,87","18,74","18,95","18,70","26,65M","1,40%"
"24.03.2023","18,61","18,45","18,66","18,35","32,06M","0,81%"
"23.03.2023","18,46","18,41","18,57","18,34","28,96M","0,38%"
"22.03.2023","18,39","18,61","18,72","18,38","21,07M","-0,81%"
"21.03.2023","18,54","18,67","18,72","18,43","24,31M","0,27%"
"20.03.2023","18,49","18,27","18,58","18,22","27,38M","1,99%"
"17.03.2023","18,13","18,32","18,35","18,03","58,73M","-1,41%"
"16.03.2023","18,39","18,23","18,43","18,07","31,73M","0,44%"
"15.03.2023","18,31","18,20","18,34","18,06","34,44M","-0,70%"
"14.03.2023","18,44","18,37","18,51","18,21","32,08M","0,77%"
"13.03.2023","18,30","18,27","18,66","18,22","39,84M","-0,71%"
"10.03.2023","18,43","18,28","18,49","18,24","32,02M","0,60%"
"09.03.2023","18,32","18,70","18,70","18,31","24,71M","-1,56%"
"08.03.2023","18,61","18,57","18,64","18,18","31,51M","-0,53%"
"07.03.2023","18,71","18,80","18,93","18,60","27,94M","-0,32%"
"06.03.2023","18,77","18,85","18,96","18,77","24,07M","-0,21%"
"03.03.2023","18,81","18,70","18,85","18,67","23,50M","0,80%"
"02.03.2023","18,66","18,53","18,75","18,50","24,19M","0,00%"
"01.03.2023","18,66","18,83","18,86","18,56","23,34M","-1,32%"
"28.02.2023","18,91","19,02","19,03","18,84","34,16M","-0,63%"
"27.02.2023","19,03","19,30","19,34","19,01","22,98M","-1,09%"
"24.02.2023","19,24","19,26","19,27","18,98","29,14M","-0,57%"
"23.02.2023","19,35","19,42","19,58","19,26","24,85M","-0,15%"
"22.02.2023","19,38","19,22","19,43","19,22","25,31M","0,88%"
