"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","17,86","17,89","17,95","17,74","6,92M","-1,38%"
"23.05.2023","18,11","18,08","18,16","17,96","4,11M","0,17%"
"22.05.2023","18,08","17,98","18,09","17,95","4,37M","0,50%"
"19.05.2023","17,99","17,66","18,19","17,58","10,58M","3,75%"
"17.05.2023","17,34","17,17","17,36","17,05","4,64M","1,05%"
"16.05.2023","17,16","17,17","17,32","17,12","4,95M","-0,41%"
"15.05.2023","17,23","17,25","17,27","17,11","4,55M","0,00%"
"12.05.2023","17,23","17,18","17,39","17,12","4,20M","0,53%"
"11.05.2023","17,14","17,34","17,41","16,98","7,64M","-0,75%"
"10.05.2023","17,27","17,52","17,59","17,20","5,53M","-1,03%"
"09.05.2023","17,45","17,50","17,64","17,30","4,61M","-0,17%"
"08.05.2023","17,48","17,40","17,53","17,33","4,36M","0,46%"
"05.05.2023","17,40","16,82","17,45","16,76","8,36M","3,94%"
"04.05.2023","16,74","17,05","17,18","16,55","10,92M","-2,84%"
"03.05.2023","17,23","17,80","17,80","17,20","8,25M","-2,66%"
"02.05.2023","17,70","18,07","18,22","17,66","7,97M","-2,05%"
"28.04.2023","18,07","18,05","18,11","17,77","6,06M","0,72%"
"27.04.2023","17,94","17,77","18,07","17,73","5,03M","-0,11%"
"26.04.2023","17,96","17,38","18,15","17,38","10,52M","0,90%"
"25.04.2023","17,80","17,48","18,21","17,27","11,48M","-2,20%"
"24.04.2023","18,20","17,98","18,44","17,98","8,35M","0,83%"
"21.04.2023","18,05","18,09","18,10","17,82","8,93M","-1,20%"
"20.04.2023","18,27","18,75","18,75","18,20","8,19M","-1,67%"
"19.04.2023","18,58","18,69","18,80","18,43","7,71M","-1,12%"
"18.04.2023","18,79","18,89","19,04","18,79","6,97M","0,32%"
"17.04.2023","18,73","19,44","19,48","18,49","9,48M","-3,75%"
"14.04.2023","19,46","19,02","19,69","19,01","8,60M","2,05%"
"13.04.2023","19,07","19,01","19,13","18,95","7,74M","0,32%"
"12.04.2023","19,01","18,80","19,14","18,63","13,70M","0,42%"
"11.04.2023","18,93","18,83","19,14","18,83","9,47M","1,07%"
"06.04.2023","18,73","18,57","18,81","18,52","5,69M","1,08%"
"05.04.2023","18,53","18,89","18,97","18,49","6,21M","-1,28%"
"04.04.2023","18,77","18,70","19,03","18,68","9,45M","0,21%"
"03.04.2023","18,73","19,36","19,43","18,46","13,42M","-2,90%"
"31.03.2023","19,29","18,80","19,36","18,80","12,50M","1,42%"
"30.03.2023","19,02","18,60","19,07","18,52","13,80M","3,37%"
"29.03.2023","18,40","18,09","18,60","17,95","19,84M","3,72%"
"28.03.2023","17,74","17,82","17,99","17,52","11,48M","1,66%"
"27.03.2023","17,45","17,60","17,68","17,04","11,85M","1,10%"
"24.03.2023","17,26","17,14","17,32","16,42","26,37M","-3,52%"
"23.03.2023","17,89","18,47","18,70","17,86","21,22M","-4,33%"
"22.03.2023","18,70","19,36","19,99","18,66","23,19M","-3,76%"
"21.03.2023","19,43","17,78","19,43","17,70","36,16M","12,18%"
"20.03.2023","17,32","15,79","18,27","14,47","76,86M","1,23%"
"17.03.2023","17,11","17,70","17,70","16,88","37,00M","-1,16%"
"16.03.2023","17,31","17,86","17,86","16,91","26,21M","3,41%"
"15.03.2023","16,74","18,30","18,30","16,72","27,95M","-8,72%"
"14.03.2023","18,34","17,69","18,39","17,39","16,32M","3,56%"
