"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","47,41","47,32","47,55","47,27","11,66K","-0,71%"
"23.05.2023","47,75","47,88","47,90","47,57","17,86K","-0,09%"
"22.05.2023","47,79","47,90","48,03","47,69","28,48K","0,18%"
"19.05.2023","47,71","47,94","48,02","47,65","30,25K","0,37%"
"18.05.2023","47,53","47,50","47,79","47,42","31,04K","0,60%"
"17.05.2023","47,25","47,28","47,43","47,20","23,17K","-0,10%"
"16.05.2023","47,29","47,58","47,74","47,26","46,04K","-0,59%"
"15.05.2023","47,58","47,76","47,82","47,32","25,85K","0,09%"
"12.05.2023","47,53","47,40","47,62","47,28","26,09K","0,27%"
"11.05.2023","47,40","47,44","47,60","47,18","29,30K","0,42%"
"10.05.2023","47,20","47,46","47,64","47,18","26,63K","-0,57%"
"09.05.2023","47,47","47,58","47,63","47,33","23,98K","0,15%"
"05.05.2023","47,40","47,09","47,47","47,00","26,27K","0,82%"
"04.05.2023","47,01","47,51","47,51","46,79","23,19K","-0,93%"
"03.05.2023","47,46","47,81","47,97","47,46","53,69K","-0,30%"
"02.05.2023","47,60","48,36","48,44","47,51","34,87K","-0,96%"
"28.04.2023","48,06","48,26","48,26","47,80","60,97K","0,53%"
"27.04.2023","47,81","47,90","48,19","47,74","26,26K","-0,19%"
"26.04.2023","47,90","48,26","48,32","47,67","36,36K","-1,25%"
"25.04.2023","48,50","48,54","48,74","48,26","18,36K","-0,17%"
"24.04.2023","48,59","48,51","48,67","48,35","32,03K","0,11%"
"21.04.2023","48,53","48,64","48,82","48,48","12,84K","0,04%"
"20.04.2023","48,52","48,90","48,90","48,46","42,98K","-0,29%"
"19.04.2023","48,66","48,79","48,79","48,54","12,92K","-0,50%"
"18.04.2023","48,90","48,84","49,00","48,74","35,76K","0,04%"
"17.04.2023","48,88","48,87","49,00","48,71","40,02K","0,60%"
"14.04.2023","48,59","48,34","48,94","48,19","33,21K","0,74%"
"13.04.2023","48,24","49,00","49,00","48,03","28,43K","-0,12%"
"12.04.2023","48,29","48,26","48,80","48,20","30,48K","0,08%"
"11.04.2023","48,26","48,11","48,81","48,01","44,64K","0,96%"
"06.04.2023","47,79","47,46","48,23","47,46","33,72K","0,41%"
"05.04.2023","47,60","47,74","47,86","47,32","64,56K","0,35%"
"04.04.2023","47,43","48,06","48,06","47,40","23,57K","-0,99%"
"03.04.2023","47,90","47,63","48,06","47,63","48,44K","0,66%"
"31.03.2023","47,59","47,35","47,64","47,32","45,83K","0,51%"
"30.03.2023","47,35","47,56","47,60","47,15","26,36K","0,53%"
"29.03.2023","47,10","47,08","47,24","46,81","14,66K","0,64%"
"28.03.2023","46,80","46,79","46,93","46,51","36,03K","0,34%"
"27.03.2023","46,64","46,88","46,88","46,46","31,33K","0,83%"
"24.03.2023","46,26","46,62","46,62","45,85","35,27K","-0,80%"
"23.03.2023","46,63","46,73","46,80","46,42","35,46K","-0,77%"
"22.03.2023","46,99","47,08","47,13","46,74","34,70K","-0,11%"
"21.03.2023","47,04","46,60","47,10","46,44","39,65K","1,76%"
"20.03.2023","46,23","46,00","46,49","45,50","49,75K","0,05%"
"17.03.2023","46,21","47,00","47,19","46,05","27,54K","-1,26%"
"16.03.2023","46,79","46,99","46,99","46,28","29,05K","-0,26%"
"15.03.2023","46,92","47,79","47,79","46,58","51,55K","-1,57%"
"14.03.2023","47,67","47,28","47,83","47,09","41,35K","0,32%"
"13.03.2023","47,51","48,44","48,56","47,25","50,32K","-2,33%"
"10.03.2023","48,65","48,70","49,85","48,14","74,69K","-2,01%"
"09.03.2023","49,65","50,00","50,12","49,59","61,41K","-0,97%"
"08.03.2023","50,13","50,15","50,34","50,00","28,29K","0,01%"
"07.03.2023","50,12","50,10","50,38","50,04","35,68K","-0,05%"
"06.03.2023","50,15","50,10","50,35","50,02","28,50K","0,25%"
"03.03.2023","50,03","49,77","50,06","49,66","22,94K","0,67%"
"02.03.2023","49,69","49,39","49,76","49,28","26,25K","0,60%"
"01.03.2023","49,40","49,37","49,67","49,13","39,87K","0,65%"
"28.02.2023","49,08","49,37","49,49","48,89","19,38K","-1,00%"
"27.02.2023","49,58","49,70","49,85","49,53","24,22K","0,07%"
"24.02.2023","49,54","49,70","49,76","49,30","28,77K","-0,27%"
"23.02.2023","49,68","49,81","50,19","49,60","7,65K","0,20%"
"22.02.2023","49,58","49,58","49,71","49,34","22,66K","-0,19%"
"21.02.2023","49,68","50,46","50,52","49,58","18,67K","-1,56%"
"20.02.2023","50,47","50,51","50,61","50,24","24,84K","0,44%"
"17.02.2023","50,24","50,29","50,60","50,08","11,79K","-0,43%"
"16.02.2023","50,46","50,70","50,70","50,26","21,14K","-0,13%"
"15.02.2023","50,53","50,17","50,58","50,03","27,14K","1,05%"
"14.02.2023","50,00","50,34","50,43","49,99","24,19K","-0,40%"
"13.02.2023","50,20","50,28","50,40","50,08","16,06K","0,30%"
"10.02.2023","50,05","49,85","50,08","49,60","41,47K","-0,07%"
"09.02.2023","50,08","50,46","50,46","49,99","16,94K","-0,21%"
"08.02.2023","50,19","50,18","50,47","50,09","12,99K","-0,13%"
"07.02.2023","50,26","50,10","50,51","50,10","23,43K","0,15%"
"06.02.2023","50,19","50,24","50,32","49,90","49,83K","-0,58%"
"03.02.2023","50,48","50,38","50,90","49,90","48,71K","0,67%"
"02.02.2023","50,14","49,85","50,22","49,59","67,20K","0,94%"
"01.02.2023","49,68","49,67","50,04","49,52","30,72K","0,30%"
"31.01.2023","49,53","49,20","49,90","49,04","16,91K","0,07%"
"30.01.2023","49,49","49,30","49,72","49,11","30,15K","-0,10%"
"27.01.2023","49,54","49,70","49,84","49,41","23,37K","-0,02%"
"26.01.2023","49,55","49,73","49,82","49,38","15,96K","0,55%"
"25.01.2023","49,28","49,67","49,67","49,03","13,98K","-0,39%"
"24.01.2023","49,48","49,46","49,96","49,15","33,49K","0,24%"
"23.01.2023","49,36","49,02","49,44","48,90","21,82K","1,06%"
"20.01.2023","48,84","48,88","49,07","48,56","25,85K","0,66%"
"19.01.2023","48,52","48,96","49,02","48,44","32,55K","-1,41%"
"18.01.2023","49,21","49,81","49,94","49,15","21,04K","-1,05%"
"17.01.2023","49,73","50,07","50,07","49,61","12,41K","-0,68%"
"16.01.2023","50,08","49,92","50,22","49,83","32,29K","0,40%"
"13.01.2023","49,88","49,95","50,00","49,64","30,75K","-0,28%"
"12.01.2023","50,02","49,88","50,27","49,50","56,65K","0,89%"
"11.01.2023","49,58","49,45","49,88","49,28","15,07K","0,72%"
"10.01.2023","49,22","49,46","49,49","49,13","80,39K","-0,89%"
"09.01.2023","49,66","49,78","49,85","49,42","16,44K","0,04%"
"06.01.2023","49,65","49,36","50,28","49,33","13,50K","0,86%"
"05.01.2023","49,22","49,04","49,49","48,90","14,98K","0,26%"
"04.01.2023","49,09","49,06","49,15","48,60","56,55K","0,93%"
"03.01.2023","48,64","48,85","49,47","48,46","30,74K","0,36%"
"30.12.2022","48,47","48,39","48,60","48,24","4,89K","-0,18%"
"29.12.2022","48,55","48,28","48,74","48,01","17,88K","0,23%"
"28.12.2022","48,44","48,94","48,94","48,18","25,20K","0,62%"
"23.12.2022","48,14","48,34","48,34","48,08","3,88K","-0,04%"
"22.12.2022","48,15","48,31","48,58","48,00","13,41K","-0,23%"
"21.12.2022","48,26","47,65","48,34","47,44","8,46K","1,59%"
"20.12.2022","47,51","47,29","47,78","47,10","18,89K","0,00%"
"19.12.2022","47,51","47,36","47,61","47,28","15,60K","0,49%"
"16.12.2022","47,28","47,71","47,76","47,05","22,31K","-0,46%"
"15.12.2022","47,50","47,68","47,87","47,30","23,48K","-1,65%"
"14.12.2022","48,29","48,45","48,68","48,16","21,22K","-0,27%"
"13.12.2022","48,43","48,30","48,97","48,13","44,11K","0,90%"
"12.12.2022","47,99","48,00","48,12","47,81","71,31K","-0,44%"
"09.12.2022","48,21","48,42","49,05","48,00","23,20K","-0,29%"
"08.12.2022","48,35","48,34","48,48","48,12","20,83K","0,31%"
