"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","17,98","18,35","18,35","17,95","","-3,18%"
"23.05.2023","18,57","17,53","18,80","17,47","","5,57%"
"22.05.2023","17,59","17,50","17,59","17,18","","0,51%"
"19.05.2023","17,50","17,40","17,61","17,30","","0,81%"
"18.05.2023","17,36","17,70","17,81","17,19","","-5,34%"
"17.05.2023","18,34","18,25","18,58","18,19","","0,00%"
"16.05.2023","18,34","18,65","18,68","18,32","","-1,24%"
"15.05.2023","18,57","18,26","18,60","18,22","","1,87%"
"12.05.2023","18,23","18,67","18,67","18,17","","-2,20%"
"11.05.2023","18,64","18,66","18,97","18,63","","-0,05%"
"10.05.2023","18,65","18,16","18,69","18,14","","3,27%"
"09.05.2023","18,06","18,45","18,45","18,00","","-2,17%"
"08.05.2023","18,46","18,57","18,64","18,15","","-1,12%"
"05.05.2023","18,67","18,68","19,13","18,57","","0,43%"
"04.05.2023","18,59","18,80","18,93","17,60","","0,32%"
"03.05.2023","18,53","18,95","18,98","18,42","","-1,07%"
"02.05.2023","18,73","19,59","19,63","18,73","","-4,54%"
"28.04.2023","19,62","19,35","19,90","19,05","","1,55%"
"27.04.2023","19,32","19,04","19,38","18,82","","1,20%"
"26.04.2023","19,09","19,35","19,82","18,89","","2,80%"
"25.04.2023","18,57","18,78","18,78","18,32","","-0,85%"
"24.04.2023","18,73","18,91","19,06","18,74","","-0,48%"
"21.04.2023","18,82","18,60","18,89","18,48","","0,43%"
"20.04.2023","18,74","19,37","19,52","18,53","","-3,00%"
"19.04.2023","19,32","19,16","19,38","18,86","","-0,26%"
"18.04.2023","19,37","19,30","19,61","19,15","","0,89%"
"17.04.2023","19,20","19,22","19,34","18,86","","0,31%"
"14.04.2023","19,14","18,70","19,44","18,70","","3,18%"
"13.04.2023","18,55","18,53","18,72","18,24","","0,49%"
"12.04.2023","18,46","18,20","18,98","18,20","","1,71%"
"11.04.2023","18,15","17,90","18,16","17,63","","2,48%"
"06.04.2023","17,71","16,81","17,81","16,80","","5,92%"
"05.04.2023","16,72","17,08","17,18","16,58","","-2,79%"
"04.04.2023","17,20","17,16","17,72","17,09","","0,64%"
"03.04.2023","17,09","17,50","17,61","16,89","","-1,44%"
"31.03.2023","17,34","17,37","17,63","17,01","","-0,17%"
"30.03.2023","17,37","16,89","17,42","16,87","","5,02%"
"29.03.2023","16,54","15,77","16,81","15,30","","5,69%"
"28.03.2023","15,65","16,92","16,93","15,27","","-6,06%"
"27.03.2023","16,66","16,45","17,00","16,41","","-0,12%"
"24.03.2023","16,68","17,41","17,48","16,46","","-4,74%"
"23.03.2023","17,51","17,71","18,01","17,35","","-1,13%"
"22.03.2023","17,71","18,19","18,28","17,66","","-4,63%"
"21.03.2023","18,57","19,06","19,08","18,50","","-1,90%"
"20.03.2023","18,93","18,76","19,39","18,61","","1,72%"
"17.03.2023","18,61","19,67","19,75","17,94","","-3,22%"
"16.03.2023","19,23","20,15","20,26","18,98","","-4,42%"
"15.03.2023","20,12","20,10","20,41","19,36","","-0,15%"
"14.03.2023","20,15","20,25","20,83","20,13","","-0,20%"
"13.03.2023","20,19","20,56","20,66","19,47","","-1,13%"
"10.03.2023","20,42","21,00","21,03","19,96","","-3,31%"
"09.03.2023","21,12","22,02","22,05","21,04","","-5,12%"
"08.03.2023","22,26","22,18","22,34","21,84","","-0,89%"
"07.03.2023","22,46","23,60","24,02","22,02","","-5,63%"
"06.03.2023","23,80","23,13","23,88","22,90","","3,75%"
"03.03.2023","22,94","22,62","23,00","22,62","","2,05%"
"02.03.2023","22,48","22,02","22,65","21,87","","0,49%"
"01.03.2023","22,37","23,80","23,82","22,28","","-6,21%"
"28.02.2023","23,85","23,87","24,01","23,51","","-0,67%"
"27.02.2023","24,01","23,81","24,24","23,80","","0,88%"
"24.02.2023","23,80","25,25","25,25","23,80","","-5,03%"
"23.02.2023","25,06","24,70","25,28","24,61","","1,66%"
"22.02.2023","24,65","24,82","24,83","24,37","","-1,20%"
"21.02.2023","24,95","25,40","25,45","24,87","","-2,00%"
"20.02.2023","25,46","25,65","25,75","25,41","","0,00%"
"17.02.2023","25,46","24,85","25,63","24,71","","0,71%"
"16.02.2023","25,28","26,13","26,21","24,73","","-1,86%"
"15.02.2023","25,76","25,94","25,96","25,51","","-0,58%"
"14.02.2023","25,91","26,30","26,62","25,76","","-0,73%"
