"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","147,85","151,40","152,00","147,15","","-2,28%"
"23.05.2023","151,30","150,95","151,75","148,80","27,10K","-0,23%"
"22.05.2023","151,65","149,30","151,65","148,80","33,27K","1,71%"
"19.05.2023","149,10","149,90","151,20","149,05","31,32K","-0,43%"
"18.05.2023","149,75","146,60","149,90","146,60","42,36K","3,13%"
"17.05.2023","145,20","144,05","146,55","143,45","49,30K","0,17%"
"16.05.2023","144,95","146,00","146,20","143,70","46,55K","-1,19%"
"15.05.2023","146,70","148,85","149,35","146,00","42,22K","-0,71%"
"12.05.2023","147,75","150,45","150,45","147,20","43,04K","-1,34%"
"11.05.2023","149,75","148,00","151,40","146,55","62,18K","-2,89%"
"10.05.2023","154,20","154,00","156,25","153,55","26,13K","0,49%"
"09.05.2023","153,45","155,50","156,25","153,05","51,22K","-1,38%"
"08.05.2023","155,60","153,00","155,80","152,45","32,70K","1,70%"
"05.05.2023","153,00","151,40","154,20","150,50","33,16K","1,16%"
"04.05.2023","151,25","151,85","152,00","149,30","33,78K","0,10%"
"03.05.2023","151,10","150,00","152,05","148,60","35,20K","0,17%"
"02.05.2023","150,85","151,90","154,35","150,55","41,73K","-0,72%"
"28.04.2023","151,95","149,50","151,95","147,25","40,50K","2,29%"
"27.04.2023","148,55","148,25","150,50","148,00","27,49K","0,27%"
"26.04.2023","148,15","148,70","149,40","147,65","33,11K","-0,24%"
"25.04.2023","148,50","150,50","150,70","148,25","27,13K","-1,85%"
"24.04.2023","151,30","150,90","152,25","150,40","29,61K","0,43%"
"21.04.2023","150,65","151,80","152,10","148,85","36,52K","0,23%"
"20.04.2023","150,30","153,90","153,90","150,20","54,00K","-2,43%"
"19.04.2023","154,05","154,00","154,90","151,85","33,53K","-0,13%"
"18.04.2023","154,25","156,10","156,65","154,20","30,31K","-1,09%"
"17.04.2023","155,95","157,45","159,15","155,75","30,21K","-0,64%"
"14.04.2023","156,95","155,15","157,75","155,15","33,96K","1,75%"
"13.04.2023","154,25","154,05","155,55","153,10","24,73K","0,13%"
"12.04.2023","154,05","154,80","156,95","154,05","28,48K","-1,44%"
"11.04.2023","156,30","155,85","157,35","154,70","28,68K","2,32%"
"06.04.2023","152,75","153,45","154,45","151,95","27,20K","-1,10%"
"05.04.2023","154,45","155,50","157,55","154,20","29,92K","-0,99%"
"04.04.2023","156,00","159,40","160,30","156,00","32,88K","-1,86%"
"03.04.2023","158,95","159,35","159,35","156,95","41,31K","0,60%"
"31.03.2023","158,00","158,95","159,50","156,80","34,08K","-0,16%"
"30.03.2023","158,25","154,60","158,60","153,80","47,45K","3,09%"
"29.03.2023","153,50","152,85","153,85","151,40","32,09K","1,02%"
"28.03.2023","151,95","154,50","154,50","151,20","27,23K","0,30%"
"27.03.2023","151,50","151,00","152,90","150,15","34,02K","1,34%"
"24.03.2023","149,50","152,00","152,70","147,80","71,90K","-3,42%"
"23.03.2023","154,80","155,90","158,35","154,50","49,72K","-1,24%"
"22.03.2023","156,75","157,30","159,60","155,65","30,06K","0,03%"
"21.03.2023","156,70","154,90","157,95","154,10","39,93K","2,32%"
"20.03.2023","153,15","152,65","154,40","149,65","53,26K","0,20%"
"17.03.2023","152,85","159,35","159,80","152,70","114,56K","-3,96%"
"16.03.2023","159,15","165,55","165,55","157,00","70,71K","-1,76%"
"15.03.2023","162,00","167,95","170,75","160,30","72,20K","-3,77%"
"14.03.2023","168,35","169,90","170,40","166,10","61,42K","-1,41%"
"13.03.2023","170,75","174,70","174,70","167,50","50,34K","-2,29%"
