"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","119,32","120,52","120,52","118,82","","-1,52%"
"23.05.2023","121,16","120,40","121,16","119,72","722,44K","0,53%"
"22.05.2023","120,52","120,20","121,00","119,64","506,58K","0,27%"
"19.05.2023","120,20","120,80","121,98","120,04","1,16M","-0,08%"
"18.05.2023","120,30","118,24","120,68","118,16","1,35M","3,24%"
"17.05.2023","116,52","116,18","116,86","115,08","949,82K","-0,07%"
"16.05.2023","116,60","118,12","118,18","116,02","1,47M","-1,80%"
"15.05.2023","118,74","119,66","119,98","118,60","766,70K","-0,42%"
"12.05.2023","119,24","119,98","120,34","119,10","1,12M","-0,33%"
"11.05.2023","119,64","120,00","120,60","118,82","2,02M","-5,56%"
"10.05.2023","126,68","127,26","128,32","126,66","1,58M","0,22%"
"09.05.2023","126,40","127,56","127,90","125,48","1,17M","-0,57%"
"08.05.2023","127,12","127,64","128,38","126,46","1,06M","-0,03%"
"05.05.2023","127,16","125,52","127,78","124,84","1,37M","1,76%"
"04.05.2023","124,96","125,12","125,60","122,50","1,52M","0,60%"
"03.05.2023","124,22","123,44","124,68","121,76","1,15M","0,80%"
"02.05.2023","123,24","124,20","125,26","122,74","1,13M","-0,36%"
"28.04.2023","123,68","123,00","123,88","120,12","1,13M","1,38%"
"27.04.2023","122,00","121,50","123,32","120,50","672,93K","0,64%"
"26.04.2023","121,22","120,32","121,82","119,84","938,22K","0,40%"
"25.04.2023","120,74","121,96","122,06","120,34","922,94K","-1,03%"
"24.04.2023","122,00","122,20","122,94","121,50","726,51K","0,08%"
"21.04.2023","121,90","122,24","122,84","120,26","1,22M","0,26%"
"20.04.2023","121,58","124,28","124,32","120,96","2,00M","-3,09%"
"19.04.2023","125,46","126,26","126,26","123,68","788,42K","-0,88%"
"18.04.2023","126,58","127,54","127,54","126,46","552,56K","-0,25%"
"17.04.2023","126,90","128,66","129,00","126,20","910,99K","-0,63%"
"14.04.2023","127,70","126,84","128,30","126,16","1,20M","1,28%"
"13.04.2023","126,08","125,50","126,66","124,28","845,27K","0,45%"
"12.04.2023","125,52","125,50","127,30","125,10","739,95K","0,02%"
"11.04.2023","125,50","125,22","126,76","124,96","888,15K","1,65%"
"06.04.2023","123,46","124,14","124,44","122,78","666,09K","-0,50%"
"05.04.2023","124,08","125,68","126,06","123,38","1,04M","-1,05%"
"04.04.2023","125,40","126,50","127,70","125,40","761,32K","-0,37%"
"03.04.2023","125,86","126,20","126,58","125,44","650,37K","0,18%"
"31.03.2023","125,64","125,60","125,78","124,54","941,74K","0,77%"
"30.03.2023","124,68","123,50","125,30","123,28","838,24K","1,70%"
"29.03.2023","122,60","122,50","122,68","121,20","709,07K","0,59%"
