"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","76,74","77,32","77,70","76,66","0,33K","-1,65%"
"23.05.2023","78,03","78,29","78,30","77,88","53,50K","-0,43%"
"22.05.2023","78,37","78,28","78,54","78,00","9,26K","0,21%"
"19.05.2023","78,21","78,40","78,85","78,09","30,59K","0,31%"
"18.05.2023","77,96","77,51","78,08","77,21","24,22K","1,25%"
"17.05.2023","77,00","76,75","77,13","76,68","14,29K","0,12%"
"16.05.2023","76,91","77,01","77,30","76,74","26,00K","-0,10%"
"15.05.2023","76,99","77,16","77,27","76,67","21,44K","0,23%"
"12.05.2023","76,81","77,20","77,42","76,77","15,15K","-0,09%"
"11.05.2023","76,88","77,29","77,47","76,62","14,52K","-0,21%"
"10.05.2023","77,04","76,91","77,70","76,57","17,29K","0,13%"
"09.05.2023","76,94","77,07","77,09","76,73","34,84K","0,12%"
"05.05.2023","76,85","76,05","76,91","75,89","65,03K","1,48%"
"04.05.2023","75,73","76,38","76,44","75,50","13,45K","-1,39%"
"03.05.2023","76,80","76,94","77,07","76,69","15,48K","0,63%"
"02.05.2023","76,32","77,70","77,99","76,30","87,21K","-1,31%"
"28.04.2023","77,33","76,90","77,51","76,67","49,98K","1,22%"
"27.04.2023","76,40","75,92","76,43","75,84","31,33K","0,38%"
"26.04.2023","76,11","76,26","76,29","75,70","18,52K","-0,50%"
"25.04.2023","76,49","76,92","77,08","76,41","85,37K","-0,51%"
"24.04.2023","76,88","76,71","77,19","76,64","127,98K","-0,09%"
"21.04.2023","76,95","76,88","77,23","76,65","13,99K","-0,05%"
"20.04.2023","76,99","77,22","77,24","76,80","144,30K","-0,27%"
"19.04.2023","77,20","77,21","77,30","76,89","42,51K","-0,14%"
"18.04.2023","77,31","77,40","77,77","77,18","30,29K","0,48%"
"17.04.2023","76,94","77,27","77,34","76,93","52,90K","-0,01%"
"14.04.2023","76,95","77,20","77,58","76,91","334,87K","0,25%"
"13.04.2023","76,76","76,44","76,85","76,28","113,47K","0,30%"
"12.04.2023","76,53","76,55","77,30","76,30","17,38K","-0,09%"
"11.04.2023","76,60","76,61","76,79","76,44","132,10K","0,64%"
"06.04.2023","76,11","76,10","76,31","75,79","10,54K","0,00%"
"05.04.2023","76,11","76,39","76,51","75,91","103,34K","-0,34%"
"04.04.2023","76,37","76,84","77,14","76,30","31,12K","-0,12%"
"03.04.2023","76,46","76,36","76,87","76,29","28,45K","0,54%"
"31.03.2023","76,05","75,55","76,08","75,41","105,57K","0,88%"
"30.03.2023","75,39","75,13","75,60","75,12","29,34K","0,94%"
"29.03.2023","74,69","74,44","74,80","74,44","30,25K","0,99%"
"28.03.2023","73,96","74,29","74,38","73,78","43,56K","-0,27%"
"27.03.2023","74,16","74,37","74,55","73,90","38,83K","1,08%"
"24.03.2023","73,37","73,79","73,80","72,78","36,58K","-1,30%"
"23.03.2023","74,34","73,87","74,58","73,50","58,87K","-0,12%"
"22.03.2023","74,43","74,37","74,75","74,30","13,70K","0,43%"
"21.03.2023","74,11","73,77","74,40","73,72","138,68K","1,27%"
"20.03.2023","73,18","72,53","73,68","72,00","28,41K","0,14%"
"17.03.2023","73,08","73,81","74,13","72,73","148,80K","-0,25%"
"16.03.2023","73,26","72,77","73,57","71,98","94,83K","2,16%"
"15.03.2023","71,71","73,00","73,25","71,39","39,24K","-1,93%"
"14.03.2023","73,12","72,02","73,28","71,85","66,45K","1,44%"
"13.03.2023","72,08","72,95","72,99","70,85","103,89K","-1,53%"
"10.03.2023","73,20","72,36","74,36","72,17","97,88K","-1,54%"
"09.03.2023","74,35","74,23","74,74","74,01","17,88K","0,34%"
"08.03.2023","74,09","74,19","74,43","73,92","47,67K","-0,58%"
"07.03.2023","74,52","75,43","75,56","74,50","126,25K","-1,60%"
"06.03.2023","75,73","75,34","75,88","75,17","25,07K","1,37%"
"03.03.2023","74,71","73,91","74,76","73,91","25,81K","1,91%"
"02.03.2023","73,31","73,04","73,51","72,90","46,46K","-0,20%"
"01.03.2023","73,46","74,00","74,13","73,27","87,24K","-0,82%"
"28.02.2023","74,07","73,84","74,37","73,79","57,12K","-0,04%"
"27.02.2023","74,10","74,00","74,72","73,71","26,01K","0,62%"
"24.02.2023","73,64","74,48","74,52","73,33","26,82K","-0,69%"
"23.02.2023","74,15","74,57","74,90","74,10","80,02K","-0,32%"
"22.02.2023","74,39","74,47","74,69","74,07","1,34M","-0,32%"
"21.02.2023","74,63","75,42","75,58","74,63","77,78K","-1,35%"
"20.02.2023","75,65","75,81","76,07","75,60","13,17K","0,43%"
"17.02.2023","75,33","75,68","75,92","75,29","74,50K","-1,68%"
"16.02.2023","76,62","77,24","77,42","76,04","79,12K","-0,03%"
"15.02.2023","76,64","76,47","76,77","76,30","27,63K","0,59%"
"14.02.2023","76,19","76,92","77,57","76,19","201,12K","-0,56%"
"13.02.2023","76,62","75,90","76,72","75,80","17,31K","1,12%"
"10.02.2023","75,77","75,80","76,07","75,28","133,40K","-1,14%"
"09.02.2023","76,64","76,86","77,30","76,60","45,50K","0,20%"
"08.02.2023","76,49","77,32","77,34","76,49","90,37K","0,08%"
"07.02.2023","76,43","76,44","76,56","76,07","49,92K","-0,14%"
"06.02.2023","76,54","76,51","76,59","76,04","25,42K","-1,44%"
