"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"24.05.2023","35,98","36,22","36,23","35,89","7,63M","-0,72%"
"23.05.2023","36,24","35,94","36,91","35,80","21,47M","0,78%"
"22.05.2023","35,96","36,25","36,33","35,91","16,56M","-0,25%"
"19.05.2023","36,05","36,22","36,52","36,03","16,83M","-0,22%"
"18.05.2023","36,13","36,01","36,17","35,72","20,19M","-0,14%"
"17.05.2023","36,18","36,22","36,34","36,04","16,74M","0,36%"
"16.05.2023","36,05","36,62","36,78","36,04","20,25M","-1,96%"
"15.05.2023","36,77","37,63","37,63","36,72","20,41M","-2,18%"
"12.05.2023","37,59","37,64","37,74","37,41","10,67M","-0,03%"
"11.05.2023","37,60","37,41","37,64","37,32","11,07M","-0,08%"
"10.05.2023","37,63","37,81","37,83","37,29","14,43M","0,16%"
"09.05.2023","37,57","37,82","37,82","37,43","12,23M","-0,69%"
"08.05.2023","37,83","37,68","37,90","37,44","10,67M","0,00%"
"05.05.2023","37,83","37,52","37,84","37,15","15,82M","1,29%"
"04.05.2023","37,35","37,86","37,96","37,29","16,16M","-1,66%"
"03.05.2023","37,98","37,96","38,30","37,61","16,70M","0,82%"
"02.05.2023","37,67","38,47","38,51","37,49","17,27M","-2,69%"
"01.05.2023","38,71","39,17","39,18","38,68","17,04M","-0,31%"
"28.04.2023","38,83","38,56","39,00","38,46","19,20M","0,10%"
"27.04.2023","38,79","37,20","38,81","37,13","28,84M","5,07%"
"26.04.2023","36,92","37,10","37,44","36,82","21,50M","-1,02%"
"25.04.2023","37,30","36,71","37,36","36,57","24,96M","0,54%"
"24.04.2023","37,10","37,19","37,49","36,98","20,36M","-0,59%"
"21.04.2023","37,32","37,43","37,43","37,05","23,82M","0,35%"
"20.04.2023","37,19","37,66","37,80","36,97","31,52M","-3,65%"
"19.04.2023","38,60","38,92","38,99","38,52","17,70M","-0,87%"
"18.04.2023","38,94","39,47","39,49","38,90","16,59M","-1,32%"
"17.04.2023","39,46","39,22","39,51","39,14","11,57M","0,61%"
"14.04.2023","39,22","39,37","39,42","38,89","11,01M","-0,25%"
"13.04.2023","39,32","39,19","39,32","38,92","13,52M","0,31%"
"12.04.2023","39,20","39,37","39,63","39,10","13,10M","-0,63%"
"11.04.2023","39,45","39,33","39,70","39,27","12,54M","0,25%"
"10.04.2023","39,35","39,21","39,35","38,99","16,11M","-0,33%"
"06.04.2023","39,48","39,50","39,78","39,16","21,55M","-1,57%"
"05.04.2023","40,11","39,72","40,24","39,56","23,56M","1,16%"
"04.04.2023","39,65","39,29","39,65","39,21","18,58M","1,10%"
"03.04.2023","39,22","39,05","39,58","39,01","19,35M","0,85%"
"31.03.2023","38,89","38,79","39,05","38,55","22,80M","0,59%"
"30.03.2023","38,66","38,55","38,75","38,44","13,92M","0,47%"
"29.03.2023","38,48","38,31","38,51","38,16","12,31M","1,26%"
"28.03.2023","38,00","38,02","38,31","37,92","13,09M","-0,13%"
"27.03.2023","38,05","37,99","38,22","37,70","14,47M","1,04%"
"24.03.2023","37,66","37,53","37,70","37,25","14,96M","0,78%"
"23.03.2023","37,37","37,30","37,63","37,16","15,80M","0,16%"
"22.03.2023","37,31","37,79","37,95","37,29","15,32M","-1,14%"
"21.03.2023","37,74","37,72","37,77","37,36","16,65M","0,83%"
"20.03.2023","37,43","36,96","37,71","36,93","19,25M","1,74%"
"17.03.2023","36,79","36,55","36,83","36,16","47,35M","0,57%"
"16.03.2023","36,58","36,82","36,88","36,44","29,18M","-1,30%"
"15.03.2023","37,06","36,69","37,26","36,51","21,72M","0,49%"
"14.03.2023","36,88","36,66","36,94","36,50","22,43M","0,93%"
"13.03.2023","36,54","36,54","37,33","36,39","21,83M","-0,38%"
"10.03.2023","36,68","36,64","36,92","36,41","23,94M","0,36%"
"09.03.2023","36,55","37,60","37,65","36,52","26,51M","-2,61%"
"08.03.2023","37,53","37,80","37,81","37,35","20,30M","-1,00%"
"07.03.2023","37,91","38,10","38,15","37,43","23,71M","-0,63%"
"06.03.2023","38,15","38,37","38,63","38,05","22,93M","-0,29%"
"03.03.2023","38,26","38,44","38,51","38,06","23,41M","-0,39%"
"02.03.2023","38,41","38,10","38,46","37,94","18,82M","0,29%"
"01.03.2023","38,30","38,71","38,71","38,15","18,41M","-1,31%"
"28.02.2023","38,81","38,70","38,97","38,55","16,69M","-0,18%"
"27.02.2023","38,88","38,99","39,15","38,63","14,21M","0,36%"
"24.02.2023","38,74","38,23","38,76","38,09","16,43M","0,55%"
"23.02.2023","38,53","39,12","39,32","38,52","16,74M","-1,91%"
"22.02.2023","39,28","39,38","39,59","39,03","15,09M","0,20%"
"21.02.2023","39,20","39,90","39,98","39,16","17,81M","-2,54%"
"17.02.2023","40,22","39,84","40,39","39,66","15,03M","0,95%"
"16.02.2023","39,84","40,06","40,21","39,70","16,63M","-1,34%"
"15.02.2023","40,38","40,23","40,40","40,10","11,27M","0,12%"
"14.02.2023","40,33","40,46","40,58","39,91","12,29M","0,02%"
"13.02.2023","40,32","40,01","40,47","39,88","14,49M","0,77%"
"10.02.2023","40,01","40,00","40,06","39,72","15,40M","0,50%"
"09.02.2023","39,81","40,62","40,66","39,75","17,49M","-1,75%"
"08.02.2023","40,52","40,53","40,70","40,12","14,08M","-0,07%"
"07.02.2023","40,55","40,99","41,21","40,12","21,67M","-1,77%"
"06.02.2023","41,28","41,51","41,59","40,90","15,53M","-0,55%"
"03.02.2023","41,51","41,78","41,97","41,14","18,31M","-0,77%"
"02.02.2023","41,83","41,74","41,93","41,20","18,44M","0,34%"
"01.02.2023","41,69","41,99","42,00","41,13","19,54M","0,29%"
"31.01.2023","41,57","41,08","41,58","41,01","18,67M","1,27%"
"30.01.2023","41,05","40,84","41,26","40,70","22,27M","1,01%"
"27.01.2023","40,64","40,22","40,68","39,77","17,25M","0,92%"
"26.01.2023","40,27","40,38","40,57","39,93","19,57M","-0,15%"
"25.01.2023","40,33","40,54","41,09","39,91","26,53M","-0,22%"
"24.01.2023","40,42","38,69","42,49","38,41","32,14M","1,99%"
"23.01.2023","39,63","39,99","40,34","39,42","34,25M","-0,92%"
"20.01.2023","40,00","40,04","40,12","39,46","23,38M","-0,15%"
"19.01.2023","40,06","39,71","40,28","39,47","24,81M","0,23%"
"18.01.2023","39,97","40,86","40,86","39,82","22,98M","-2,15%"
"17.01.2023","40,85","41,85","41,92","40,79","28,70M","-2,41%"
"13.01.2023","41,86","41,65","41,92","41,37","17,23M","0,12%"
"12.01.2023","41,81","41,38","41,95","41,12","16,98M","1,53%"
"11.01.2023","41,18","42,14","42,18","41,02","20,67M","-1,84%"
"10.01.2023","41,95","41,36","41,97","41,17","16,70M","1,40%"
"09.01.2023","41,37","41,38","41,67","41,31","23,06M","-1,94%"
"06.01.2023","42,19","41,92","42,58","41,88","26,01M","1,18%"
"05.01.2023","41,70","41,20","41,94","40,82","29,99M","1,39%"
"04.01.2023","41,13","40,54","41,42","40,26","28,78M","2,52%"
"03.01.2023","40,12","39,77","40,23","39,38","31,33M","1,83%"
"30.12.2022","39,40","39,31","39,69","39,07","44,01M","0,36%"
"29.12.2022","39,26","38,90","39,53","38,81","17,35M","1,16%"
"28.12.2022","38,81","39,19","39,66","38,58","21,79M","-1,12%"
"27.12.2022","39,25","38,49","39,40","38,32","25,32M","2,19%"
"23.12.2022","38,41","38,31","38,54","37,92","16,92M","0,26%"
"22.12.2022","38,31","37,68","38,32","37,37","26,87M","1,40%"
"21.12.2022","37,78","37,27","37,85","37,24","24,50M","2,14%"
"20.12.2022","36,99","36,99","37,21","36,62","24,15M","-0,11%"
"19.12.2022","37,03","37,33","37,47","36,58","26,13M","-0,24%"
"16.12.2022","37,12","37,51","37,57","36,67","62,76M","-1,72%"
"15.12.2022","37,77","37,75","38,34","37,66","33,01M","0,85%"
"14.12.2022","37,45","37,87","38,09","37,24","23,33M","-1,08%"
"13.12.2022","37,86","38,39","38,62","37,84","30,18M","-0,24%"
"12.12.2022","37,95","37,69","37,96","37,28","19,63M","1,47%"
"09.12.2022","37,40","37,21","37,63","36,96","20,67M","0,81%"
"08.12.2022","37,10","37,11","37,24","36,87","19,55M","-0,19%"
"07.12.2022","37,17","36,74","37,31","36,67","23,07M","0,76%"
"06.12.2022","36,89","36,99","37,07","36,63","26,29M","-0,49%"
"05.12.2022","37,07","37,98","38,11","36,90","27,56M","-2,91%"
"02.12.2022","38,18","37,93","38,30","37,70","21,68M","-0,39%"
"01.12.2022","38,33","39,18","39,23","37,81","26,28M","-1,67%"
"30.11.2022","38,98","38,21","39,14","38,15","31,36M","1,67%"
"29.11.2022","38,34","38,02","38,37","37,94","14,01M","0,26%"
"28.11.2022","38,24","39,01","39,09","38,13","21,56M","-2,00%"
"25.11.2022","39,02","39,10","39,36","38,97","7,73M","0,26%"
"23.11.2022","38,92","39,03","39,20","38,61","14,17M","-0,71%"
"22.11.2022","39,20","38,84","39,32","38,84","19,81M","1,50%"
"21.11.2022","38,62","38,60","39,13","38,52","19,18M","0,18%"
"18.11.2022","38,55","38,29","38,77","38,29","17,82M","1,02%"
"17.11.2022","38,16","37,55","38,18","37,29","18,79M","0,74%"
"16.11.2022","37,88","37,66","38,07","37,63","18,96M","0,48%"
"15.11.2022","37,70","38,49","38,83","37,46","25,07M","-1,59%"
"14.11.2022","38,31","38,45","38,99","38,30","22,70M","0,03%"
"11.11.2022","38,30","38,55","38,69","37,81","22,98M","-0,57%"
"10.11.2022","38,52","38,30","38,55","37,81","23,05M","2,39%"
"09.11.2022","37,62","37,92","38,13","37,59","17,57M","-0,66%"
"08.11.2022","37,87","37,20","37,99","37,16","17,39M","1,83%"
"07.11.2022","37,19","37,32","37,44","36,98","19,70M","-0,13%"
"04.11.2022","37,24","37,35","37,37","36,80","17,60M","0,24%"
"03.11.2022","37,15","37,36","37,54","37,12","22,33M","-1,49%"
"02.11.2022","37,71","37,25","38,35","37,16","30,65M","0,91%"
"01.11.2022","37,37","37,98","38,09","37,30","22,97M","0,00%"
"31.10.2022","37,37","37,51","37,54","37,02","26,63M","-0,80%"
"28.10.2022","37,67","36,80","38,04","36,57","31,82M","4,12%"
"27.10.2022","36,18","36,69","36,72","36,13","20,27M","-0,69%"
"26.10.2022","36,43","36,38","36,71","36,20","20,34M","0,00%"
"25.10.2022","36,43","35,91","36,47","35,80","25,50M","1,28%"
"24.10.2022","35,97","35,66","36,39","35,57","28,84M","1,75%"
"21.10.2022","35,35","35,52","35,70","34,55","51,67M","-4,46%"
"20.10.2022","37,00","36,57","37,53","36,55","35,52M","1,18%"
"19.10.2022","36,57","36,57","37,37","36,56","29,56M","-1,35%"
"18.10.2022","37,07","37,67","37,70","36,83","27,49M","-0,30%"
"17.10.2022","37,18","36,72","37,29","36,59","21,96M","2,20%"
"14.10.2022","36,38","36,80","36,91","36,34","26,03M","-0,05%"
"13.10.2022","36,40","35,12","36,59","35,04","33,12M","2,02%"
"12.10.2022","35,68","35,90","36,19","35,60","23,34M","-0,72%"
"11.10.2022","35,94","36,56","36,69","35,93","27,71M","-1,86%"
"10.10.2022","36,62","37,13","37,31","36,37","21,62M","-0,62%"
"07.10.2022","36,85","37,63","37,70","36,81","31,84M","-2,62%"
"06.10.2022","37,84","39,47","39,66","37,77","36,66M","-3,96%"
"05.10.2022","39,40","39,34","39,62","38,87","17,80M","-1,03%"
