"Nome","Símbolo","Bolsa","Último","Compra","Venda","Transações Pós-fecho","Transações Pós-fecho (%)","Abertura","Prévio","Alta","Baixa","Var.","Var.%","Vol.","Próximos Resultados","Hora","Capitalização","Receitas","Vol. Méd. (3m)","LPA","Preço/Result.","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","Semana","Mês","YTD","1 ano","3 anos"
"Vonovia SE","VNAn","ETR","18,57","18,43","18,61","--","--","17,53","18,57","18,80","17,47","+0,98","+5,57%","7.403.430","04.08.2023","16:44:18","14.780.000.000","5.970.000.000","5.221.076","-3,35","-5,56","0,774","0,85","4,4%","Venda","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda","Venda Forte","5,57%","1,25%","-0,85%","-15,67%","-44,57%","-60,03%"
"Volkswagen AG","VOWG","ETR","151,30","151,05","151,25","--","--","150,95","151,30","151,75","148,80","-0,35","-0,23%","27.102","27.07.2023","16:35:07","75.770.000.000","292.720.000.000","41.977","24,94","6,06","1,29","8,7","5,69%","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda Forte","Venda Forte","-0,23%","4,38%","0,00%","2,47%","-17,53%","8,15%"
"Volkswagen AG Vz","VOWG_p","ETR","121,16","120,85","121,20","--","--","120,40","121,16","121,16","119,72","+0,64","+0,53%","722.437","27.07.2023","16:39:38","69.630.000.000","292.720.000.000","1.230.313","24,94","4,85","1,29","8,76","7,1%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Venda Forte","Venda Forte","Venda Forte","0,53%","3,91%","-0,69%","4,07%","-16,69%","-8,75%"
"Verizon Communications Inc","VZ","NYSE","36,24","-","-","36,28","--","35,94","35,96","36,91","35,80","+0,28","+0,78%","21.474.882","25.07.2023","20:59:59","152.350.000.000","136.190.000.000","18.767.451","5,14","7,08","0,339","2,61","7,26%","Venda Forte","Venda Forte","Venda Forte","Neutro","Venda Forte","Venda Forte","Venda Forte","Venda Forte","0,78%","0,53%","-2,32%","-8,02%","-28,49%","-33,01%"
"Vanguard S&P 500 UCITS Acc","VUAA.L","LON","78,03","-","-","--","--","78,29","78,37","78,29","77,90","-0,34","-0,43%","53.504","--","16:58:53","-","","56.359","-","-","-","1,1171","1,43%","Venda","Venda","Venda Forte","Venda","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-0,43%","1,46%","1,50%","9,76%","9,07%","48,01%"
"Vanguard FTSE All-World High Dividend Yield UCITS USD","VHYL.L","LON","47,75","-","-","--","--","47,88","47,79","47,88","47,57","+0,02","+0,04%","17.856","--","16:29:24","2.820.000.000","","33.927","-","-","-","1,6453","2,77%","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Neutro","Compra","Neutro","Neutro","0,04%","0,97%","-1,72%","-1,48%","-1,63%","29,67%"
"Telefonica Deutschland Holding AG","O2Dn.DE","ETR","2,764","2,764","-","--","--","2,766","2,766","2,788","2,746","-0,002","-0,07%","2.300.398","26.07.2023","16:35:27","8.220.000.000","8.530.000.000","2.984.535","0,079","34,97","0,537","0,18","6,51%","Compra Forte","Compra Forte","Neutro","Venda","Venda Forte","Venda Forte","Neutro","Compra Forte","-0,07%","-9,61%","-8,51%","20,02%","-3,26%","3,91%"
"T. Rowe Price Group Inc","TROW.O","NASDAQ","106,02","105,90","109,20","105,94","--","106,85","106,84","108,38","105,99","-0,82","-0,77%","1.065.784","26.07.2023","20:59:59","23.810.000.000","6.160.000.000","1.519.378","6,12","17,39","1,31","4,88","4,57%","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Neutro","Venda Forte","Venda Forte","-0,77%","1,84%","-5,76%","-2,79%","-11,90%","-7,88%"
"Porsche Automobil Holding SE","PAH3d.BS","BS","55,58","55,54","55,90","--","--","54,96","54,70","55,62","54,90","+0,88","+1,61%","2.251","08.08.2023","14:44:41","17.000.000.000","2.040.000.000","1.451","15,63","3,55","1,38","2,56","4,85%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda Forte","1,61%","8,30%","9,41%","9,15%","-22,84%","20,43%"
"Nio Inc Class A ADR","NIO","NYSE","8,75","-","-","8,74","--","8,64","8,79","8,85","8,59","-0,04","-0,46%","38.345.102","09.06.2023","20:59:59","14.680.000.000","7.730.000.000","43.661.686","-8,89","-6,60","1,91","-","-","Venda","Venda","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Venda Forte","Venda Forte","-0,46%","10,62%","5,55%","-10,26%","-40,19%","167,58%"
