"Data","Último","Abertura","Alta","Baixa","Vol.","Var. %"
"22.05.2023","38,75","36,84","38,86","36,75","84,72M","5,38%"
"19.05.2023","36,77","36,65","37,65","36,52","33,07M","0,79%"
"18.05.2023","36,48","36,71","36,78","36,17","27,27M","-0,73%"
"17.05.2023","36,75","36,98","37,05","36,51","23,21M","-0,70%"
"16.05.2023","37,01","37,02","37,24","36,83","25,45M","-0,40%"
"15.05.2023","37,16","37,30","37,36","37,01","16,65M","-0,51%"
"12.05.2023","37,35","37,61","37,72","37,23","16,54M","-0,61%"
"11.05.2023","37,58","37,60","37,65","37,21","28,57M","-1,88%"
"10.05.2023","38,30","38,67","38,72","38,08","15,86M","-0,47%"
"09.05.2023","38,48","38,48","38,67","38,39","15,99M","-0,49%"
"08.05.2023","38,67","38,53","38,73","38,35","20,10M","0,47%"
"05.05.2023","38,49","38,38","38,50","38,09","19,23M","0,68%"
"04.05.2023","38,23","38,17","38,43","38,02","23,68M","-0,57%"
"03.05.2023","38,45","39,20","39,39","38,36","27,72M","-1,56%"
"02.05.2023","39,06","39,29","40,12","38,63","38,83M","-0,38%"
"01.05.2023","39,21","39,00","39,52","38,86","23,92M","0,82%"
"28.04.2023","38,89","38,70","38,91","38,62","21,02M","0,39%"
"27.04.2023","38,74","38,62","38,83","38,31","22,43M","0,28%"
"26.04.2023","38,63","39,16","39,19","38,40","22,40M","-1,78%"
"25.04.2023","39,33","39,75","39,92","39,28","24,49M","-1,45%"
"24.04.2023","39,91","40,19","40,20","39,71","17,63M","-0,75%"
"21.04.2023","40,21","40,09","40,30","39,90","19,23M","0,90%"
"20.04.2023","39,85","40,08","40,19","39,79","20,13M","-0,97%"
"19.04.2023","40,24","40,43","40,56","40,20","17,21M","-0,76%"
"18.04.2023","40,55","41,28","41,33","40,53","18,54M","-1,53%"
"17.04.2023","41,18","41,12","41,28","40,96","17,61M","-0,02%"
"14.04.2023","41,19","41,51","41,71","40,93","20,63M","-0,68%"
"13.04.2023","41,47","41,53","41,70","41,29","22,88M","0,24%"
"12.04.2023","41,37","41,63","41,79","41,27","17,04M","-1,01%"
"11.04.2023","41,79","41,80","41,99","41,70","15,30M","0,14%"
"10.04.2023","41,73","41,15","41,74","41,12","15,14M","0,55%"
